block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
6,cube0,13.593889,24469,9.821895,6.885938,6.172583,3.042075,22,0.033639,14,0.120056,18,0.088917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130.875000,64.500000,146.000000,2.608310,34.000000,0.804079,0.000000,0.000000,32.000000,0.721024,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.601666,26283,0.807683,0.772310,1.232158,0.837160,4,0.099028,4,0.135056,26.125000,17.750000,NA,NA,NA,NA,NA,NA,NA,NA,16.375000,0.350954,17.125000,0.432378,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.567223,26221,0.047164,0.011791,0.471640,0.076641,2,0.086083,2,0.006917,10.000000,1.625000,NA,NA,NA,NA,NA,NA,NA,NA,0.250000,0.005358,1.000000,0.025248,
7,cube0,12.685555,22834,9.821895,6.885938,6.172583,3.042075,22,0.033750,14,0.093278,18,0.081417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130.875000,64.500000,146.000000,2.608310,34.000000,0.804079,0.000000,0.000000,32.000000,0.721024,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.566112,26219,0.807683,0.772310,1.273427,0.837160,4,0.099167,4,0.020639,27.000000,17.750000,NA,NA,NA,NA,NA,NA,NA,NA,16.375000,0.350954,17.125000,0.432378,
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.532222,26158,0.047164,0.011791,0.453953,0.076641,2,0.085583,2,0.005806,9.625000,1.625000,NA,NA,NA,NA,NA,NA,NA,NA,0.250000,0.005358,1.000000,0.025248,
8,cube0,5.223889,9403,3.030284,0.754623,0.035373,1.526933,6,0.000250,5,0.002111,18,0.166750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.750000,32.375000,16.000000,0.285842,33.500000,0.792254,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.567223,26221,0.047164,0.011791,0.595445,0.058955,2,0.103028,2,0.006500,12.625000,1.250000,NA,NA,NA,NA,NA,NA,NA,NA,0.250000,0.005358,1.000000,0.025248,
8,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.531111,26156,0.047164,0.011791,0.624922,0.058955,2,0.106861,2,0.007278,13.250000,1.250000,NA,NA,NA,NA,NA,NA,NA,NA,0.250000,0.005358,1.000000,0.025248,
9,cube0,5.487778,9878,3.030284,0.754623,0.035373,1.526933,6,0.000250,5,0.002111,18,0.163583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.750000,32.375000,16.000000,0.285842,33.500000,0.792254,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,
