block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aic_scalar_time(us),aic_scalar_ratio,aic_scalar_single_time(us),aic_scalar_dual_time(us),aic_scalar_mte1_stall_time(us),aic_scalar_mte2_stall_time(us),aic_scalar_mte3_stall_time(us),aic_scalar_cube_stall_time(us),aic_scalar_wait_ib_time(us),aic_scalar_wait_time(us),aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aiv_scalar_time(us),aiv_scalar_ratio,aiv_scalar_single_time(us),aiv_scalar_dual_time(us),aiv_scalar_mte2_stall_time(us),aiv_scalar_mte3_stall_time(us),aiv_scalar_stall_by_ub_time(us),aiv_scalar_vector_stall_time(us),aiv_scalar_wait_ib_time(us),aiv_scalar_wait_time(us),aic_scalar_wait_id11_time(us),aic_scalar_wait_id12_time(us),aic_scalar_wait_id1_time(us),aiv_scalar_wait_id0_time(us),aiv_scalar_wait_id13_time(us),
8,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.966110,179939,43.186668,0.389069,18.463888,0.166341,79.955421,0.912222,0.008218,66.908218,0.000000,29.403889,0.264900,2.875000,9.465555,27.188889,0.000000,0.000000,0.000000,0.250556,25.780556,NA,NA,NA,21.174999,4.343333,
9,cube0,99.676109,179417,24.368889,0.219540,18.527222,0.166912,16.531111,0.148929,0.001111,0.000010,5578.994629,40.474998,0.364640,120.637741,0.000000,30.504444,0.274815,1.104445,6.146111,31.129444,0.000000,0.000000,0.000000,0.165556,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.986111,17.606112,24.062222,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108.053886,194497,55.856110,0.503208,22.879444,0.206121,80.614120,1.367222,0.012317,61.382374,0.000000,28.813334,0.259580,3.074445,10.429444,28.569445,0.000000,0.000000,0.000000,0.206667,32.318333,NA,NA,NA,2.636111,13.479445,
9,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108.152222,194674,34.467777,0.310521,14.131667,0.127312,78.282501,1.213333,0.010931,62.879631,0.000000,24.116112,0.217262,2.585556,7.937222,18.425556,0.000000,0.000000,0.000000,0.206667,17.762222,NA,NA,NA,31.062222,13.992222,
10,cube0,99.828888,179692,24.340555,0.219284,18.523890,0.166882,16.886110,0.152127,0.001111,0.000010,5578.994629,38.395000,0.345901,127.173126,0.000000,29.969999,0.270000,1.122222,6.196111,30.554445,0.000000,0.000000,0.000000,0.156111,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.794444,18.707222,24.530001,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108.239441,194831,55.936668,0.503934,23.756111,0.214019,77.639229,1.746111,0.015731,65.540451,0.000000,27.680000,0.249369,3.082222,10.468333,28.895555,0.000000,0.000000,0.000000,0.183333,32.685555,NA,NA,NA,2.663333,12.325000,
10,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108.297775,194936,34.548332,0.311246,13.967778,0.125836,79.201019,1.715000,0.015450,62.280769,0.000000,24.327223,0.219164,2.596667,7.975000,18.173889,0.000000,0.000000,0.000000,0.211111,17.376112,NA,NA,NA,30.776112,14.633889,
11,cube0,99.675552,179416,24.284445,0.218779,18.527222,0.166912,16.904444,0.152292,0.001111,0.000010,5578.994629,37.669445,0.339364,129.622620,0.000000,29.759445,0.268103,1.106667,6.126667,30.287222,0.000000,0.000000,0.000000,0.168333,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.000000,7.361111,34.349998,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.984444,179972,49.858891,0.449179,21.307222,0.191957,80.833427,0.902778,0.008133,67.608170,0.000000,27.741112,0.249920,3.020000,10.292778,28.017221,0.000000,0.000000,0.000000,0.181667,32.716667,NA,NA,NA,2.581111,13.582222,
11,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.074997,180135,28.470556,0.256491,12.797222,0.115290,76.906677,0.888889,0.008008,60.081482,0.000000,24.493889,0.220666,2.532778,7.800556,18.798889,0.000000,0.000000,0.000000,0.209444,18.770000,NA,NA,NA,23.877777,20.297777,
