block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aic_scalar_time(us),aic_scalar_ratio,aic_scalar_single_time(us),aic_scalar_dual_time(us),aic_scalar_mte1_stall_time(us),aic_scalar_mte2_stall_time(us),aic_scalar_mte3_stall_time(us),aic_scalar_cube_stall_time(us),aic_scalar_wait_ib_time(us),aic_scalar_wait_time(us),aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aiv_scalar_time(us),aiv_scalar_ratio,aiv_scalar_single_time(us),aiv_scalar_dual_time(us),aiv_scalar_mte2_stall_time(us),aiv_scalar_mte3_stall_time(us),aiv_scalar_stall_by_ub_time(us),aiv_scalar_vector_stall_time(us),aiv_scalar_wait_ib_time(us),aiv_scalar_wait_time(us),aic_scalar_wait_id0_time(us),aic_scalar_wait_id10_time(us),aic_scalar_wait_id2_time(us),aiv_scalar_wait_id0_time(us),aiv_scalar_wait_id14_time(us),
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.776112,67997,4.480000,0.109268,4.580000,0.111707,26.809078,0.468333,0.011423,5.854406,0.113755,6.563334,0.160081,0.385000,1.010556,0.000000,0.000000,0.000000,2.131667,15.272223,0.897778,NA,NA,NA,7.648889,5.106667,
4,cube0,5003.514648,9006326,1.802222,0.043957,1.731667,0.042236,4916.312012,119.910057,4.663333,0.113740,6.953166,11.649445,0.284133,31.435915,0.081487,70.843330,1.727886,21.112778,21.821667,3.451111,4532.202148,0.000000,0.205556,2.968889,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.365556,0.006667,0.013333,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.723888,67903,6.733333,0.164228,6.292222,0.153469,38.989838,0.720000,0.017561,6.126033,0.080518,6.996666,0.170650,0.567222,1.492778,0.000000,0.000000,0.000000,5.691667,8.286111,0.302222,NA,NA,NA,8.793333,3.801111,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.755554,67960,4.477222,0.109201,4.553333,0.111057,26.966085,0.417778,0.010190,6.562852,0.113486,5.022222,0.122493,0.401111,1.025556,0.000000,0.000000,0.000000,1.987778,14.926666,0.500556,NA,NA,NA,10.753333,3.031667,
5,cube0,5001.793945,9003229,1.802222,0.043957,1.710556,0.041721,4913.394531,119.838890,4.507778,0.109946,7.193107,13.484445,0.328889,27.158028,0.082001,70.497223,1.719444,21.087223,21.817223,4.420556,4523.521484,0.000000,0.205556,2.308889,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.012222,0.006667,0.013333,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.707222,67873,6.742778,0.164458,5.537778,0.135068,44.301655,0.661667,0.016138,5.945451,0.084916,10.654445,0.259865,0.584444,1.507222,0.000000,0.000000,0.000000,5.856111,8.519444,0.946111,NA,NA,NA,9.920000,1.790000,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.732777,67919,4.480000,0.109268,4.835000,0.117927,25.395153,0.290556,0.007087,9.026172,0.112311,5.640555,0.137575,0.405556,1.046667,0.000000,0.000000,0.000000,3.846667,14.135555,0.535000,NA,NA,NA,8.570556,5.450555,
6,cube0,5038.730469,9069715,1.802222,0.043957,1.708889,0.041680,4956.894531,120.899864,4.313889,0.105217,7.516403,10.157222,0.247737,36.054241,0.081451,68.161110,1.662466,21.059444,21.805555,4.266111,4557.501465,0.000000,0.214444,1.505556,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.855556,0.007778,0.013333,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.684444,67832,6.730000,0.164146,9.036667,0.220407,27.148584,0.557222,0.013591,7.701657,0.083149,10.888889,0.265583,0.587222,1.529444,0.000000,0.000000,0.000000,5.840000,9.086667,0.782778,NA,NA,NA,7.011667,4.951667,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.710556,67879,4.460556,0.108794,6.156111,0.150149,19.945314,1.691111,0.041247,1.621309,0.110793,6.338333,0.154593,0.410000,1.067222,0.000000,0.000000,0.000000,3.533333,13.053333,0.903333,NA,NA,NA,8.510555,9.776111,
