block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
6,cube0,98.857224,177943,43.736248,12.027469,12.032807,43.750130,1283,0.167122,30,0.139785,1,0.000010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1408.625000,5121.625000,1408.000000,4.555859,6.500000,0.027842,0.000000,0.000000,5120.000000,20.894444,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.503334,182706,0.683379,17.904526,17.910933,0.698328,387,0.225966,9,0.010676,2096.750000,81.750000,NA,NA,NA,NA,NA,NA,NA,NA,2096.000000,8.136202,80.000000,0.365835,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.555557,182800,0.683379,13.496733,13.503139,0.698328,291,0.177397,9,0.010631,1580.750000,81.750000,NA,NA,NA,NA,NA,NA,NA,NA,1580.000000,6.133205,80.000000,0.365835,
7,cube0,98.651665,177573,43.736248,12.574171,12.579511,43.750130,1283,0.167172,34,0.142813,1,0.000010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1472.625000,5121.625000,1472.000000,4.762944,6.500000,0.027842,0.000000,0.000000,5120.000000,20.894444,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.255554,182260,0.956730,17.904526,17.910933,0.971679,387,0.229224,11,0.012873,2096.750000,113.750000,NA,NA,NA,NA,NA,NA,NA,NA,2096.000000,8.136202,112.000000,0.512168,
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.226112,182207,0.956730,13.496733,13.503139,0.971679,291,0.176562,11,0.014555,1580.750000,113.750000,NA,NA,NA,NA,NA,NA,NA,NA,1580.000000,6.133205,112.000000,0.512168,
8,cube0,98.752777,177755,43.736248,12.027469,12.032807,43.750130,1283,0.167122,30,0.126046,1,0.000010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1408.625000,5121.625000,1408.000000,4.555859,6.500000,0.027842,0.000000,0.000000,5120.000000,20.894444,NA,NA,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.084442,178352,0.546703,17.631176,17.637581,0.561652,385,0.221692,7,0.008333,2064.750000,65.750000,NA,NA,NA,NA,NA,NA,NA,NA,2064.000000,8.011986,64.000000,0.292668,
8,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.121109,178418,0.546703,13.223381,13.229788,0.561652,289,0.173524,7,0.008388,1548.750000,65.750000,NA,NA,NA,NA,NA,NA,NA,NA,1548.000000,6.008989,64.000000,0.292668,
9,cube0,98.942780,178097,43.736248,12.027469,12.032807,43.750130,1283,0.166842,30,0.156942,1,0.000010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1408.625000,5121.625000,1408.000000,4.555859,6.500000,0.027842,0.000000,0.000000,5120.000000,20.894444,NA,NA,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.447777,193406,0.751717,16.520685,16.527090,0.766666,345,0.204635,10,0.012793,1934.750000,89.750000,NA,NA,NA,NA,NA,NA,NA,NA,1934.000000,7.507355,88.000000,0.402418,
9,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.427223,193369,0.683379,9.908994,9.915400,0.698328,201,0.119755,9,0.013398,1160.750000,81.750000,NA,NA,NA,NA,NA,NA,NA,NA,1160.000000,4.502860,80.000000,0.365835,
10,cube0,98.996666,178194,43.736248,12.574171,12.579511,43.750130,1283,0.166912,34,0.163534,1,0.000010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1472.625000,5121.625000,1472.000000,4.762944,6.500000,0.027842,0.000000,0.000000,5120.000000,20.894444,NA,NA,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.537224,193567,1.025068,16.520685,16.527090,1.040017,345,0.199775,12,0.014795,1934.750000,121.750000,NA,NA,NA,NA,NA,NA,NA,NA,1934.000000,7.507355,120.000000,0.548752,
10,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.556114,193601,0.956730,9.908994,9.915400,0.971679,201,0.122968,11,0.014735,1160.750000,113.750000,NA,NA,NA,NA,NA,NA,NA,NA,1160.000000,4.502860,112.000000,0.512168,
