block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aic_scalar_time(us),aic_scalar_ratio,aic_scalar_single_time(us),aic_scalar_dual_time(us),aic_scalar_mte1_stall_time(us),aic_scalar_mte2_stall_time(us),aic_scalar_mte3_stall_time(us),aic_scalar_cube_stall_time(us),aic_scalar_wait_ib_time(us),aic_scalar_wait_time(us),aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aiv_scalar_time(us),aiv_scalar_ratio,aiv_scalar_single_time(us),aiv_scalar_dual_time(us),aiv_scalar_mte2_stall_time(us),aiv_scalar_mte3_stall_time(us),aiv_scalar_stall_by_ub_time(us),aiv_scalar_vector_stall_time(us),aiv_scalar_wait_ib_time(us),aiv_scalar_wait_time(us),aic_scalar_wait_id11_time(us),aic_scalar_wait_id12_time(us),aic_scalar_wait_id1_time(us),aiv_scalar_wait_id0_time(us),aiv_scalar_wait_id13_time(us),
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.600555,193681,34.494999,0.310766,13.089444,0.117923,84.515594,1.460000,0.013153,57.481739,0.000000,23.365000,0.210496,2.558333,7.795000,17.844444,0.000000,0.000000,0.000000,0.212778,17.082777,NA,NA,NA,30.709999,15.618889,
4,cube0,98.843887,177919,24.388889,0.219720,18.569445,0.167292,16.904444,0.152292,0.001111,0.000010,5578.994629,39.050556,0.351807,125.038239,0.000000,30.518888,0.274945,1.067222,6.037778,30.796667,0.000000,0.000000,0.000000,0.167778,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.847222,18.702223,24.563334,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.821114,190478,54.457779,0.490611,23.068333,0.207823,78.631104,2.188333,0.019715,52.295925,0.000000,25.889444,0.233238,3.037778,10.281667,28.668888,0.000000,0.000000,0.000000,0.217222,32.700554,NA,NA,NA,4.891111,10.626667,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.851669,190533,33.069443,0.297923,14.942223,0.134615,71.993614,1.925556,0.017347,55.470497,0.000000,22.930000,0.206577,2.548333,7.791111,19.001667,0.000000,0.000000,0.000000,0.232778,18.178333,NA,NA,NA,30.797777,12.908334,
5,cube0,98.943336,178098,24.357779,0.219439,18.527222,0.166912,17.775000,0.160135,0.001111,0.000010,5578.994629,38.119446,0.343418,128.092438,0.000000,28.670000,0.258288,1.067778,6.020000,31.650000,0.000000,0.000000,0.000000,0.172222,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.777778,7.101111,35.358334,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.595558,182872,51.365002,0.462748,21.689444,0.195400,80.815971,1.037778,0.009349,66.164986,0.000000,26.163889,0.235711,3.005556,10.218333,28.644444,0.000000,0.000000,0.000000,0.197778,32.659443,NA,NA,NA,3.633889,14.511111,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.625000,182925,29.976667,0.270060,13.527778,0.121872,75.009323,0.910556,0.008203,67.030678,0.000000,23.097778,0.208088,2.518333,7.726111,19.147223,0.000000,0.000000,0.000000,0.208333,18.638334,NA,NA,NA,25.203333,21.030556,
6,cube0,98.857224,177943,24.368889,0.219540,18.550556,0.167122,15.516111,0.139785,0.001111,0.000010,5578.994629,39.111111,0.352352,124.844635,0.000000,29.808332,0.268544,1.067222,6.038333,28.561666,0.000000,0.000000,0.000000,0.173889,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.403333,6.766111,50.434444,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.503334,182706,58.733334,0.529129,25.082222,0.225966,79.693954,1.185000,0.010676,64.383080,0.000000,32.516109,0.292938,3.185000,11.075000,34.884445,0.000000,0.000000,0.000000,0.197222,35.037224,NA,NA,NA,1.809444,2.055000,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.555557,182800,44.720001,0.402883,19.691111,0.177397,76.522110,1.180000,0.010631,64.655891,0.000000,28.666111,0.258253,2.872778,9.426111,28.298334,0.000000,0.000000,0.000000,0.227222,25.910555,NA,NA,NA,16.615555,8.127778,
