block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
0,cube0,58.030556,104455,0.281598,0.272504,0.023607,0.000540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,69.909447,125837,0.159132,0.097945,0.037215,0.023973,0.000000,0.126971,0.042671,0.080053,
0,vector1,NA,NA,NA,NA,NA,NA,68.477776,123260,0.106088,0.065297,0.024810,0.015982,0.000000,0.097877,0.027237,0.063082,
1,cube0,61.411110,110540,0.279650,0.271202,0.045015,0.000540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,70.191109,126344,0.159132,0.097945,0.037215,0.023973,0.000000,0.132192,0.041553,0.131233,
1,vector1,NA,NA,NA,NA,NA,NA,68.735558,123724,0.106088,0.065297,0.024810,0.015982,0.000000,0.111887,0.027070,0.097154,
2,cube0,62.356667,112242,0.295601,0.286918,0.023569,0.000540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,70.463333,126834,0.159132,0.097945,0.037215,0.023973,0.000000,0.126963,0.041233,0.131233,
2,vector1,NA,NA,NA,NA,NA,NA,68.885559,123994,0.106088,0.065297,0.024810,0.015982,0.000000,0.091476,0.027314,0.097169,
3,cube0,60.572777,109031,0.291355,0.283752,0.023569,0.000540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,71.004997,127809,0.159132,0.097945,0.037215,0.023973,0.000000,0.126081,0.041385,0.131225,
3,vector1,NA,NA,NA,NA,NA,NA,68.993889,124189,0.106088,0.065297,0.024810,0.015982,0.000000,0.097991,0.027123,0.097161,
4,cube0,61.428333,110571,0.288995,0.279893,0.023569,0.000540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,69.654999,125379,0.159132,0.097945,0.037215,0.023973,0.000000,0.130335,0.042169,0.131233,
4,vector1,NA,NA,NA,NA,NA,NA,68.320557,122977,0.106088,0.065297,0.024810,0.015982,0.000000,0.099346,0.026712,0.097154,
5,cube0,59.099998,106380,0.279056,0.270015,0.023607,0.000540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,64.621109,116318,0.159132,0.097945,0.037215,0.023973,0.000000,0.103265,0.036644,0.080023,
5,vector1,NA,NA,NA,NA,NA,NA,64.622223,116320,0.106088,0.065297,0.024810,0.015982,0.000000,0.081256,0.024429,0.062983,
6,cube0,59.490555,107083,0.288691,0.283417,0.023607,0.000540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,69.447220,125005,0.159132,0.097945,0.037215,0.023973,0.000000,0.123569,0.041104,0.080129,
6,vector1,NA,NA,NA,NA,NA,NA,68.172226,122710,0.106088,0.065297,0.024810,0.015982,0.000000,0.102519,0.027078,0.063090,
