block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aic_scalar_time(us),aic_scalar_ratio,aic_scalar_single_time(us),aic_scalar_dual_time(us),aic_scalar_mte1_stall_time(us),aic_scalar_mte2_stall_time(us),aic_scalar_mte3_stall_time(us),aic_scalar_cube_stall_time(us),aic_scalar_wait_ib_time(us),aic_scalar_wait_time(us),aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aiv_scalar_time(us),aiv_scalar_ratio,aiv_scalar_single_time(us),aiv_scalar_dual_time(us),aiv_scalar_mte2_stall_time(us),aiv_scalar_mte3_stall_time(us),aiv_scalar_stall_by_ub_time(us),aiv_scalar_vector_stall_time(us),aiv_scalar_wait_ib_time(us),aiv_scalar_wait_time(us),aic_scalar_wait_id0_time(us),aic_scalar_wait_id2_time(us),aic_scalar_wait_id6_time(us),aic_scalar_wait_id7_time(us),aiv_scalar_wait_id0_time(us),aiv_scalar_wait_id14_time(us),
0,cube0,9858.451172,17745211,3.556667,0.007273,2.792778,0.005711,9717.966797,19.873142,4.038333,0.008258,8.265439,11.504444,0.023526,63.664257,0.059629,128.752228,0.263297,NA,NA,NA,NA,NA,NA,4.723889,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.193890,3.268333,0.030000,0.033333,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.471111,83648,23.014444,0.047064,7.007222,0.014330,72.200394,1.498889,0.003065,46.685150,0.055987,10.013889,0.020478,NA,NA,NA,NA,NA,NA,7.551667,2.572222,NA,NA,NA,NA,3.472222,4.538889,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.913334,80844,16.088333,0.032900,5.145555,0.010523,65.563820,2.081111,0.004256,22.568933,0.072435,10.371111,0.021209,NA,NA,NA,NA,NA,NA,9.553889,2.081667,NA,NA,NA,NA,13.908889,9.406111,
1,cube0,9857.395508,17743311,3.556667,0.007273,2.818333,0.005763,9713.059570,19.863108,3.934444,0.008046,8.483688,9.431666,0.019288,77.655624,0.057692,127.952774,0.261662,NA,NA,NA,NA,NA,NA,1.735556,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.568333,2.341667,0.021111,0.023333,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.613335,73104,19.392778,0.039658,6.335000,0.012955,65.409859,2.661667,0.005443,17.691048,0.057257,9.838333,0.020119,NA,NA,NA,NA,NA,NA,13.288889,2.451111,NA,NA,NA,NA,4.682778,3.559444,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.625000,73125,13.661111,0.027937,4.006111,0.008192,68.976402,0.678333,0.001387,46.746441,0.072506,8.363889,0.017104,NA,NA,NA,NA,NA,NA,14.375000,1.061667,NA,NA,NA,NA,4.098333,7.487222,
2,cube0,10017.138672,18030850,4.700000,0.009611,2.912778,0.005957,9873.749023,20.191715,4.112222,0.008409,8.116925,11.941112,0.024419,61.336155,0.061431,131.166107,0.268233,NA,NA,NA,NA,NA,NA,3.203889,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.019444,2.556111,0.023333,0.026667,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.608891,83896,23.020555,0.047077,7.537222,0.015414,67.123428,1.764444,0.003608,39.658859,0.053729,9.984445,0.020418,NA,NA,NA,NA,NA,NA,10.960556,2.601111,NA,NA,NA,NA,3.345000,0.937222,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.922222,80860,16.081667,0.032887,5.278889,0.010795,63.907818,1.440000,0.002945,32.616989,0.067530,9.866111,0.020176,NA,NA,NA,NA,NA,NA,17.308332,1.552222,NA,NA,NA,NA,7.726111,6.498333,
3,cube0,9887.012695,17796622,4.672222,0.009555,2.833333,0.005794,9741.509766,19.921288,3.964444,0.008107,8.419490,10.548889,0.021572,69.431183,0.046225,128.252228,0.262274,NA,NA,NA,NA,NA,NA,4.495000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.395555,2.706667,0.025556,0.028889,NA,NA,
