block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
13,cube0,22.416111,40349,2,832,4,705,5,704,0.239808,0.634697,0.488455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.824444,44684,7,7,1040,0,1053,2,50.000000,99.904533,99.573257,
13,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.788889,44620,2,6,541,1,526,1,25.000000,99.812912,99.257195,
14,cube0,22.331112,40196,2,832,3,706,5,704,0.239808,0.564175,0.444050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.805000,44649,8,6,1050,0,1046,1,57.142857,99.952316,99.668404,
14,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.767221,44581,4,4,530,0,535,1,50.000000,99.906189,99.534454,
15,cube0,22.832777,41099,2,832,4,704,5,705,0.239808,0.634697,0.488455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.797222,44635,7,7,1058,0,1036,2,50.000000,99.904579,99.573463,
15,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.762777,44573,3,5,525,1,543,0,37.500000,99.906456,99.442894,
16,cube0,23.891666,43005,1,833,6,703,3,706,0.119904,0.634697,0.444050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.780556,44605,7,7,1042,0,1051,1,50.000000,99.952248,99.620491,
16,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.743889,44539,4,5,534,1,529,0,44.444443,99.906013,99.440819,
17,cube0,23.572779,42431,2,832,5,704,4,705,0.239808,0.634697,0.488455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.788889,44620,8,6,1030,1,1065,1,57.142857,99.904625,99.621033,
17,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.738890,44530,4,5,552,1,515,0,44.444443,99.906364,99.442894,
18,cube0,23.525555,42346,2,832,2,705,6,705,0.239808,0.564175,0.444050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.775000,44595,8,6,1049,0,1045,2,57.142857,99.904579,99.620850,
18,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.723888,44503,3,5,533,0,534,1,37.500000,99.906364,99.442383,
19,cube0,24.242777,43637,2,832,5,704,4,705,0.239808,0.634697,0.488455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.767778,44582,6,7,1057,2,1037,0,46.153847,99.904579,99.573257,
19,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.713888,44485,4,5,523,0,544,1,44.444443,99.906364,99.442894,
