block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
12,cube0,24.341667,43815,0.206559,0.212043,0.066290,0.001272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,26.607779,47894,0.049964,0.030753,0.011685,0.007527,0.000000,0.068387,0.011147,0.068208,
12,vector1,NA,NA,NA,NA,NA,NA,26.598333,47877,0.024982,0.015376,0.005842,0.003763,0.000000,0.039301,0.005573,0.068226,
13,cube0,25.692778,46247,0.225215,0.230699,0.066667,0.001272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,26.611111,47900,0.049964,0.030753,0.011685,0.007527,0.000000,0.066380,0.011147,0.068208,
13,vector1,NA,NA,NA,NA,NA,NA,26.606667,47892,0.024982,0.015376,0.005842,0.003763,0.000000,0.026237,0.005573,0.068208,
14,cube0,25.191668,45345,0.206792,0.212133,0.059409,0.001272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,26.588888,47860,0.049964,0.030753,0.011685,0.007527,0.000000,0.057688,0.011147,0.068226,
14,vector1,NA,NA,NA,NA,NA,NA,26.584444,47852,0.024982,0.015376,0.005842,0.003763,0.000000,0.027849,0.005573,0.068208,
15,cube0,25.463333,45834,0.206111,0.211595,0.059050,0.001272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,26.599445,47879,0.049964,0.030753,0.011685,0.007527,0.000000,0.065269,0.011147,0.068208,
15,vector1,NA,NA,NA,NA,NA,NA,26.601110,47882,0.024982,0.015376,0.005842,0.003763,0.000000,0.024122,0.005573,0.068190,
16,cube0,26.241667,47235,0.212294,0.217706,0.058817,0.001272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,26.600000,47880,0.049964,0.030753,0.011685,0.007527,0.000000,0.067061,0.011147,0.068208,
16,vector1,NA,NA,NA,NA,NA,NA,26.600555,47881,0.024982,0.015376,0.005842,0.003763,0.000000,0.028226,0.005573,0.068226,
17,cube0,25.736666,46326,0.195878,0.201362,0.058566,0.001272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17,vector0,NA,NA,NA,NA,NA,NA,26.579445,47843,0.049964,0.030753,0.011685,0.007527,0.000000,0.064229,0.011147,0.068208,
17,vector1,NA,NA,NA,NA,NA,NA,26.553333,47796,0.024982,0.015376,0.005842,0.003763,0.000000,0.032276,0.005573,0.068208,
18,cube0,26.170000,47106,0.213333,0.218817,0.056918,0.001272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
18,vector0,NA,NA,NA,NA,NA,NA,26.549444,47789,0.049964,0.030753,0.011685,0.007527,0.000000,0.070538,0.011147,0.068208,
18,vector1,NA,NA,NA,NA,NA,NA,26.562222,47812,0.024982,0.015376,0.005842,0.003763,0.000000,0.027294,0.005573,0.068208,
19,cube0,25.971666,46749,0.206183,0.211667,0.067599,0.001272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
19,vector0,NA,NA,NA,NA,NA,NA,26.509445,47717,0.049964,0.030753,0.011685,0.007527,0.000000,0.066487,0.011147,0.068208,
19,vector1,NA,NA,NA,NA,NA,NA,26.556667,47802,0.024982,0.015376,0.005842,0.003763,0.000000,0.030591,0.005573,0.068190,
