block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
0,cube0,10.644444,19160,0.071144,0.071144,0.000000,32768,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.600000,28080,0.353824,0.011340,0.000000,0.000000,0.000000,0.034902,47584,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.602777,28085,0.246307,0.003922,0.000000,0.000000,0.000000,0.023170,27840,
1,cube0,10.672778,19211,0.071144,0.071144,0.000000,32768,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.880555,19585,0.127484,0.010294,0.000000,0.000000,0.000000,0.023366,26912,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.892777,19607,0.019967,0.001307,0.000000,0.000000,0.000000,0.018627,7168,
2,cube0,10.538889,18970,0.071144,0.071144,0.000000,32768,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.721666,19299,0.127353,0.010294,0.000000,0.000000,0.000000,0.023366,26912,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.785000,19413,0.019967,0.001307,0.000000,0.000000,0.000000,0.018627,7168,
3,cube0,10.548333,18987,0.071144,0.071144,0.000000,32768,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.697222,19255,0.127484,0.010294,0.000000,0.000000,0.000000,0.023366,26912,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.767777,19382,0.019967,0.001307,0.000000,0.000000,0.000000,0.018627,7168,
4,cube0,10.552778,18995,0.071144,0.071144,0.000000,32768,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.449445,27809,0.353824,0.011340,0.000000,0.000000,0.000000,0.034902,47584,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.347222,27625,0.246307,0.003922,0.000000,0.000000,0.000000,0.023170,27840,
5,cube0,10.508333,18915,0.071144,0.071144,0.000000,32768,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.677222,19219,0.127484,0.010294,0.000000,0.000000,0.000000,0.023366,26912,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.745556,19342,0.019967,0.001307,0.000000,0.000000,0.000000,0.018627,7168,
6,cube0,10.526667,18948,0.071144,0.071144,0.000000,32768,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.762777,19373,0.127353,0.010294,0.000000,0.000000,0.000000,0.023366,26912,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.785556,19414,0.019967,0.001307,0.000000,0.000000,0.000000,0.018627,7168,
7,cube0,10.497222,18895,0.071144,0.071144,0.000000,32768,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.665556,19198,0.127353,0.010294,0.000000,0.000000,0.000000,0.023366,26912,
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.697222,19255,0.019967,0.001307,0.000000,0.000000,0.000000,0.018627,7168,
