block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
14,cube0,42.904999,77229,0.235576,0.157253,0.046889,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,51.236668,92226,0.059838,0.035434,0.007434,0.016970,0.000000,0.120586,0.189737,0.049596,
14,vector1,NA,NA,NA,NA,NA,NA,51.268333,92283,0.045515,0.026586,0.006202,0.012727,0.000000,0.100990,0.160404,0.028303,
15,cube0,42.513889,76525,0.234798,0.158162,0.046889,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,44.639446,80351,0.057929,0.035404,0.005556,0.016970,0.000000,0.115838,0.204495,0.044798,
15,vector1,NA,NA,NA,NA,NA,NA,44.637779,80348,0.043606,0.026556,0.004323,0.012727,0.000000,0.093828,0.173374,0.023333,
16,cube0,42.395557,76312,0.206253,0.124566,0.046889,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,42.381668,76287,0.042970,0.026545,0.003697,0.012727,0.000000,0.071909,0.115747,0.043101,
16,vector1,NA,NA,NA,NA,NA,NA,42.334446,76202,0.014323,0.008848,0.001232,0.004242,0.000000,0.024313,0.051939,0.021737,
17,cube0,42.386112,76295,0.236616,0.161263,0.046939,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17,vector0,NA,NA,NA,NA,NA,NA,42.360554,76249,0.071616,0.044242,0.006162,0.021212,0.000000,0.129697,0.274576,0.021798,
17,vector1,NA,NA,NA,NA,NA,NA,42.342224,76216,0.071616,0.044242,0.006162,0.021212,0.000000,0.129253,0.275081,0.021717,
18,cube0,42.377777,76280,0.225798,0.142626,0.046939,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
18,vector0,NA,NA,NA,NA,NA,NA,42.361111,76250,0.035808,0.022121,0.003081,0.010606,0.000000,0.063515,0.083768,0.021657,
18,vector1,NA,NA,NA,NA,NA,NA,42.326668,76188,0.000000,0.000000,0.000000,0.000000,0.000000,0.001566,0.001707,0.000131,
19,cube0,42.233891,76021,0.068970,0.045970,0.015465,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
19,vector0,NA,NA,NA,NA,NA,NA,42.193333,75948,0.007162,0.004424,0.000616,0.002121,0.000000,0.011081,0.014343,0.021576,
19,vector1,NA,NA,NA,NA,NA,NA,42.176109,75917,0.000000,0.000000,0.000000,0.000000,0.000000,0.000545,0.000485,0.000131,
