block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aic_scalar_time(us),aic_scalar_ratio,aic_scalar_single_time(us),aic_scalar_dual_time(us),aic_scalar_mte1_stall_time(us),aic_scalar_mte2_stall_time(us),aic_scalar_mte3_stall_time(us),aic_scalar_cube_stall_time(us),aic_scalar_wait_ib_time(us),aic_scalar_wait_time(us),aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aiv_scalar_time(us),aiv_scalar_ratio,aiv_scalar_single_time(us),aiv_scalar_dual_time(us),aiv_scalar_mte2_stall_time(us),aiv_scalar_mte3_stall_time(us),aiv_scalar_stall_by_ub_time(us),aiv_scalar_vector_stall_time(us),aiv_scalar_wait_ib_time(us),aiv_scalar_wait_time(us),aic_scalar_wait_id11_time(us),aic_scalar_wait_id12_time(us),aic_scalar_wait_id1_time(us),aiv_scalar_wait_id0_time(us),aiv_scalar_wait_id13_time(us),
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.126110,81227,15.591666,0.283485,4.217778,0.076687,72.863388,0.757778,0.013778,90.613045,0.000000,19.732779,0.358778,1.639444,4.486111,0.005000,0.000000,0.000000,0.875000,0.163889,14.847777,NA,NA,NA,1.333889,13.546111,
4,cube0,43.072777,77531,6.047222,0.109949,4.575555,0.083192,5.844444,0.106263,0.001111,0.000020,3433.227539,10.091111,0.183475,120.968155,0.000000,15.882222,0.288768,0.445000,1.745556,6.871666,0.000000,0.000000,0.000000,0.149444,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.802778,7.688889,5.180000,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.435001,92583,20.110001,0.365636,5.127222,0.093222,77.795395,1.110000,0.020182,82.479950,0.000000,15.338889,0.278889,1.715000,4.639444,0.001667,0.000000,0.000000,0.289444,0.149444,13.385555,NA,NA,NA,0.864444,14.456667,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.496113,92693,10.974444,0.199535,2.561111,0.046566,83.689568,1.172222,0.021313,78.101852,0.000000,13.494445,0.245354,1.463889,3.246111,0.001667,0.000000,0.000000,0.289444,0.175556,3.818333,NA,NA,NA,10.727777,15.535556,
5,cube0,42.850555,77131,5.953333,0.108242,4.563889,0.082980,9.615556,0.174828,0.001111,0.000020,3433.227539,9.572778,0.174051,127.518173,0.000000,12.213889,0.222071,0.422222,1.680556,8.759444,0.000000,0.000000,0.000000,0.143333,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.360556,11.517222,14.889444,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.007778,81014,24.646667,0.448121,7.233333,0.131515,67.998734,0.480556,0.008737,79.380981,0.000000,26.075556,0.474101,1.884444,5.871666,0.008333,0.000000,0.000000,1.460556,0.176111,22.685556,NA,NA,NA,0.571667,2.163889,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.987778,80978,24.646667,0.448121,7.239444,0.131626,67.941338,0.573333,0.010424,66.535416,0.000000,26.162222,0.475677,1.884444,5.871666,0.008333,0.000000,0.000000,1.460556,0.157222,22.658890,NA,NA,NA,0.499444,2.051667,
6,cube0,42.959999,77328,5.988333,0.108879,4.575555,0.083192,9.106112,0.165566,0.001111,0.000020,3433.227539,9.906111,0.180111,123.227280,0.000000,12.628889,0.229616,0.447222,1.755556,7.682778,0.000000,0.000000,0.000000,0.131111,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.227777,3.668889,8.161111,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.405556,92530,17.745556,0.322646,4.961667,0.090212,71.093102,0.876111,0.015929,69.666000,0.000000,12.962778,0.235687,1.650000,4.298889,0.000000,0.000000,0.000000,0.000000,0.166667,11.303333,NA,NA,NA,0.846111,17.873888,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.411110,92540,6.319445,0.114899,1.458333,0.026515,83.705353,0.978333,0.017788,62.386871,0.000000,10.794444,0.196263,1.335000,2.556667,0.000000,0.000000,0.000000,0.000000,0.153889,0.265000,NA,NA,NA,12.008333,20.745001,
7,cube0,42.722221,76900,5.951667,0.108212,4.563889,0.082980,10.033889,0.182434,0.001111,0.000020,3433.227539,9.891666,0.179848,123.407227,0.000000,11.877222,0.215949,0.425000,1.697222,9.741111,0.000000,0.000000,0.000000,0.137778,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.400556,11.071111,11.901111,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.886665,80796,22.443333,0.408061,5.960556,0.108374,74.778854,0.710556,0.012919,96.635025,0.000000,24.233889,0.440616,1.827222,5.541667,0.006667,0.000000,0.000000,1.171111,0.146667,20.540556,NA,NA,NA,0.590000,4.993333,
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.915554,80848,20.159445,0.366535,5.337778,0.097051,74.860657,0.814444,0.014808,84.308456,0.000000,23.650555,0.430010,1.763333,5.193889,0.006667,0.000000,0.000000,1.171111,0.152778,18.249445,NA,NA,NA,2.308333,5.958889,
8,cube0,42.985554,77374,5.988333,0.108879,4.563889,0.082980,8.850000,0.160909,0.001111,0.000020,3433.227539,9.590000,0.174364,127.289162,0.000000,12.329445,0.224172,0.458333,1.785556,8.077778,0.000000,0.000000,0.000000,0.162778,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.927778,4.215000,13.623333,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.581112,92846,22.393888,0.407162,6.153889,0.111889,72.313339,1.253333,0.022788,73.047394,0.000000,18.655001,0.339182,1.792778,5.027222,0.003333,0.000000,0.000000,0.568333,0.192222,16.368334,NA,NA,NA,0.588889,11.418333,
8,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.599445,92879,15.542222,0.282586,4.293334,0.078061,71.414505,1.277222,0.023222,71.681129,0.000000,17.340555,0.315283,1.606111,3.981667,0.003333,0.000000,0.000000,0.571667,0.198889,10.286667,NA,NA,NA,5.056111,14.991667,
