block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aic_scalar_time(us),aic_scalar_ratio,aic_scalar_single_time(us),aic_scalar_dual_time(us),aic_scalar_mte1_stall_time(us),aic_scalar_mte2_stall_time(us),aic_scalar_mte3_stall_time(us),aic_scalar_cube_stall_time(us),aic_scalar_wait_ib_time(us),aic_scalar_wait_time(us),aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aiv_scalar_time(us),aiv_scalar_ratio,aiv_scalar_single_time(us),aiv_scalar_dual_time(us),aiv_scalar_mte2_stall_time(us),aiv_scalar_mte3_stall_time(us),aiv_scalar_stall_by_ub_time(us),aiv_scalar_vector_stall_time(us),aiv_scalar_wait_ib_time(us),aiv_scalar_wait_time(us),aic_scalar_wait_id0_time(us),aiv_scalar_wait_id0_time(us),
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.381668,88887,23.031666,0.004505,6.697778,0.001310,NA,1.406111,0.000275,NA,0.053746,9.832778,0.001923,1.298889,2.868333,0.000000,0.000000,0.000000,13.630000,16.576111,2.727222,NA,3.594445,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.759998,85968,16.092777,0.003147,5.654444,0.001106,NA,0.918889,0.000180,NA,0.065990,10.580000,0.002069,0.959444,2.113889,0.000000,0.000000,0.000000,7.806667,7.735000,2.172778,NA,5.946667,
5,cube0,9331.396484,16796514,3.565556,0.000697,2.940556,0.000575,9189.196289,1.797222,4.998889,0.000978,NA,12.113334,0.002369,NA,0.082669,124.093887,0.024270,0.281111,1.014444,3.649444,0.000000,0.000000,0.000000,4.879445,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.912777,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.713333,78684,19.410000,0.003796,7.528889,0.001472,NA,1.101667,0.000215,NA,0.055628,9.116667,0.001783,1.215556,2.733889,0.000000,0.000000,0.000000,11.248889,10.738889,2.452778,NA,5.126111,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.666668,78600,13.678333,0.002675,5.848333,0.001144,NA,0.738889,0.000145,NA,0.066911,8.959444,0.001752,0.899444,2.010000,0.000000,0.000000,0.000000,7.543334,11.437778,2.023889,NA,4.956111,
6,cube0,9271.500000,16688700,3.565556,0.000697,2.894444,0.000566,9125.422852,1.784749,4.991111,0.000976,NA,10.588333,0.002071,NA,0.085573,122.691109,0.023996,0.292778,1.035000,3.320555,0.000000,0.000000,0.000000,4.931111,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.416111,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.377777,88880,23.022778,0.004503,7.785000,0.001523,NA,1.456667,0.000285,NA,0.055123,9.226111,0.001804,1.308333,2.895555,0.000000,0.000000,0.000000,14.069445,12.675000,2.600556,NA,8.825000,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.768890,85984,16.092777,0.003147,6.375000,0.001247,NA,1.051667,0.000206,NA,0.066387,8.664444,0.001695,0.963889,2.143333,0.000000,0.000000,0.000000,8.742222,11.672222,2.175555,NA,7.432778,
7,cube0,9289.482422,16721068,3.566667,0.000698,2.860000,0.000559,9151.035156,1.789759,5.002222,0.000978,NA,14.992222,0.002932,NA,0.074859,126.165558,0.024675,0.286667,1.045556,3.687778,0.000000,0.000000,0.000000,0.481111,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.036667,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.619999,78516,19.401112,0.003794,10.195000,0.001994,NA,0.995000,0.000195,NA,0.051994,8.716666,0.001705,1.223889,2.761111,0.000000,0.000000,0.000000,14.973889,13.531111,2.390556,NA,9.055555,
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.574444,78434,13.668889,0.002673,7.576111,0.001482,NA,0.911667,0.000178,NA,0.067257,8.772778,0.001716,0.911667,2.035556,0.000000,0.000000,0.000000,9.145555,8.294444,2.180556,NA,11.915000,
8,cube0,9437.750000,16987950,2.368333,0.000463,2.053333,0.000402,9297.750977,1.818453,5.198889,0.001017,NA,10.741111,0.002101,NA,0.105670,121.228889,0.023710,0.239444,0.823889,3.900556,0.000000,0.000000,0.000000,2.712778,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.997223,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.044998,90081,17.728333,0.003467,7.124444,0.001393,NA,1.450000,0.000284,NA,0.063388,9.608334,0.001879,0.995556,2.195000,0.000000,0.000000,0.000000,10.771667,9.065000,2.477778,NA,8.722222,
8,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.287777,86918,12.557222,0.002456,5.728889,0.001120,NA,1.081667,0.000212,NA,0.075843,9.790000,0.001915,0.752778,1.667778,0.000000,0.000000,0.000000,6.804444,9.185000,2.116111,NA,8.461667,
9,cube0,9451.493164,17012688,2.368889,0.000463,2.047778,0.000401,9315.188477,1.821864,4.579444,0.000896,NA,10.561666,0.002066,NA,0.099061,121.045555,0.023674,0.244444,0.828889,3.398333,0.000000,0.000000,0.000000,2.462222,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.778889,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.562222,78412,13.678333,0.002675,8.665556,0.001695,NA,1.129444,0.000221,NA,0.066099,7.817778,0.001529,0.902778,2.032222,0.000000,0.000000,0.000000,6.924445,9.914444,2.703333,NA,7.956111,
9,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.531666,78357,9.857223,0.001928,6.532222,0.001278,NA,0.893889,0.000175,NA,0.082423,8.510555,0.001664,0.692778,1.542222,0.000000,0.000000,0.000000,6.154444,9.011666,2.208889,NA,8.137777,
10,cube0,9428.193359,16970749,2.380000,0.000465,1.972222,0.000386,9290.978516,1.817129,5.135000,0.001004,NA,10.506111,0.002055,NA,0.100847,120.946663,0.023655,0.243333,0.836667,3.694444,0.000000,0.000000,0.000000,2.695000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.691668,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.543888,78379,13.678333,0.002675,7.003334,0.001370,NA,1.203333,0.000235,NA,0.066480,8.396667,0.001642,0.909444,2.036111,0.000000,0.000000,0.000000,9.613889,7.760000,2.454444,NA,7.977778,
10,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.536667,78366,9.857223,0.001928,4.786111,0.000936,NA,0.736667,0.000144,NA,0.082924,7.202778,0.001409,0.693889,1.548889,0.000000,0.000000,0.000000,5.833889,11.244445,2.212778,NA,7.861111,
11,cube0,9358.840820,16845914,2.382222,0.000466,1.965000,0.000384,9219.606445,1.803170,4.981111,0.000974,NA,10.716666,0.002096,NA,0.099343,120.586670,0.023584,0.252222,0.858889,2.857778,0.000000,0.000000,0.000000,3.560555,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.176666,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.100555,90181,17.728333,0.003467,6.120000,0.001197,NA,1.522778,0.000298,NA,0.064054,9.611667,0.001880,1.004444,2.228889,0.000000,0.000000,0.000000,6.855556,9.876111,2.728333,NA,6.918334,
11,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.278332,86901,12.557222,0.002456,5.193889,0.001016,NA,1.055000,0.000206,NA,0.079618,8.708889,0.001703,0.763889,1.700556,0.000000,0.000000,0.000000,5.076111,10.620556,2.301111,NA,7.881667,
