block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aic_scalar_time(us),aic_scalar_ratio,aic_scalar_single_time(us),aic_scalar_dual_time(us),aic_scalar_mte1_stall_time(us),aic_scalar_mte2_stall_time(us),aic_scalar_mte3_stall_time(us),aic_scalar_cube_stall_time(us),aic_scalar_wait_ib_time(us),aic_scalar_wait_time(us),aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aiv_scalar_time(us),aiv_scalar_ratio,aiv_scalar_single_time(us),aiv_scalar_dual_time(us),aiv_scalar_mte2_stall_time(us),aiv_scalar_mte3_stall_time(us),aiv_scalar_stall_by_ub_time(us),aiv_scalar_vector_stall_time(us),aiv_scalar_wait_ib_time(us),aiv_scalar_wait_time(us),aic_scalar_wait_id0_time(us),aiv_scalar_wait_id0_time(us),
0,cube0,4979.367188,8962861,3.556667,0.001146,2.869444,0.000925,4895.441895,1.577648,NA,NA,NA,10.465555,0.003373,69.984047,0.089399,70.475555,0.022712,0.272222,0.938889,3.647222,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.793888,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.201111,84962,23.014444,0.007417,9.127778,0.002942,55.426876,NA,NA,NA,NA,11.506667,0.003708,1.278889,2.810000,0.000000,0.000000,0.000000,14.641666,NA,NA,NA,6.429444,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.603333,82086,16.075556,0.005181,7.480556,0.002411,45.098560,NA,NA,NA,NA,9.767222,0.003148,0.936667,2.056667,0.000000,0.000000,0.000000,9.105556,NA,NA,NA,8.164444,
1,cube0,5007.576660,9013638,3.556667,0.001146,2.883333,0.000929,4920.777832,1.585813,NA,NA,NA,9.917778,0.003196,73.849388,0.099764,70.043892,0.022573,0.272222,0.946111,3.094445,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.346666,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.249443,74249,19.398890,0.006252,7.036667,0.002268,58.887466,NA,NA,NA,NA,9.081667,0.002927,1.198889,2.673889,0.000000,0.000000,0.000000,15.252778,NA,NA,NA,2.965000,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.225555,74206,13.673889,0.004407,6.098333,0.001965,45.311909,NA,NA,NA,NA,7.436111,0.002396,0.879444,1.951667,0.000000,0.000000,0.000000,10.067223,NA,NA,NA,9.571111,
2,cube0,5013.077637,9023540,5.280000,0.001702,2.929445,0.000944,4924.048340,1.586867,NA,NA,NA,11.368889,0.003664,64.423347,0.084862,73.522781,0.023694,0.276111,0.975556,4.332778,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.848333,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.906113,84431,23.014444,0.007417,6.903333,0.002225,73.286949,NA,NA,NA,NA,10.225555,0.003295,1.291111,2.840556,0.000000,0.000000,0.000000,13.396111,NA,NA,NA,4.787778,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.286667,81516,16.081667,0.005183,4.902778,0.001580,68.810440,NA,NA,NA,NA,9.337778,0.003009,0.946667,2.088333,0.000000,0.000000,0.000000,6.697222,NA,NA,NA,7.528889,
3,cube0,5043.645996,9078563,5.281667,0.001702,2.869444,0.000925,4952.798828,1.596132,NA,NA,NA,10.592778,0.003414,69.143509,0.096125,71.014999,0.022886,0.285556,0.978333,1.676667,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.366667,NA,
