block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
12,cube0,22.763889,40975,0.244345,0.250417,0.069861,0.001409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,24.879444,44783,0.055317,0.034048,0.012937,0.008333,0.000000,0.066210,0.012341,0.075496,
12,vector1,NA,NA,NA,NA,NA,NA,24.877777,44780,0.027659,0.017024,0.006468,0.004167,0.000000,0.045238,0.006171,0.075516,
13,cube0,23.389444,42101,0.242679,0.248750,0.060615,0.001409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,24.865555,44758,0.055317,0.034048,0.012937,0.008333,0.000000,0.081607,0.012341,0.075536,
13,vector1,NA,NA,NA,NA,NA,NA,24.865555,44758,0.027659,0.017024,0.006468,0.004167,0.000000,0.031865,0.006171,0.075536,
14,cube0,22.399445,40319,0.229742,0.235813,0.063770,0.001409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,24.861111,44750,0.055317,0.034048,0.012937,0.008333,0.000000,0.059603,0.012341,0.075516,
14,vector1,NA,NA,NA,NA,NA,NA,24.846666,44724,0.027659,0.017024,0.006468,0.004167,0.000000,0.039504,0.006171,0.075516,
15,cube0,22.088888,39760,0.228532,0.234583,0.067976,0.001409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,24.847778,44726,0.055317,0.034048,0.012937,0.008333,0.000000,0.057560,0.012341,0.075516,
15,vector1,NA,NA,NA,NA,NA,NA,24.831667,44697,0.027659,0.017024,0.006468,0.004167,0.000000,0.037262,0.006171,0.075516,
16,cube0,22.690556,40843,0.217500,0.223413,0.061587,0.001409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,24.845556,44722,0.055317,0.034048,0.012937,0.008333,0.000000,0.057937,0.012341,0.075536,
16,vector1,NA,NA,NA,NA,NA,NA,24.831112,44696,0.027659,0.017024,0.006468,0.004167,0.000000,0.039425,0.006171,0.075516,
17,cube0,23.831667,42897,0.230040,0.236111,0.062877,0.001409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17,vector0,NA,NA,NA,NA,NA,NA,24.860556,44749,0.055317,0.034048,0.012937,0.008333,0.000000,0.078512,0.012341,0.075516,
17,vector1,NA,NA,NA,NA,NA,NA,24.820000,44676,0.027659,0.017024,0.006468,0.004167,0.000000,0.046091,0.006171,0.075516,
18,cube0,24.666666,44400,0.236310,0.242381,0.060833,0.001409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
18,vector0,NA,NA,NA,NA,NA,NA,24.843889,44719,0.055317,0.034048,0.012937,0.008333,0.000000,0.092401,0.012341,0.075496,
18,vector1,NA,NA,NA,NA,NA,NA,24.809444,44657,0.027659,0.017024,0.006468,0.004167,0.000000,0.032321,0.006171,0.075536,
19,cube0,24.193333,43548,0.228591,0.234663,0.067401,0.001409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
19,vector0,NA,NA,NA,NA,NA,NA,24.825001,44685,0.055317,0.034048,0.012937,0.008333,0.000000,0.083214,0.012341,0.075516,
19,vector1,NA,NA,NA,NA,NA,NA,24.790556,44623,0.027659,0.017024,0.006468,0.004167,0.000000,0.036964,0.006171,0.075496,
