block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
11,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.772778,44591,0.153812,0.060977,0.000000,0.001284,0.000000,0.061628,101984,
12,cube0,22.258888,40066,0.062146,0.062146,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.780001,44604,0.231839,0.102644,0.000000,0.001456,0.000000,0.077375,185920,
12,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.765556,44578,0.153812,0.060977,0.000000,0.001284,0.000000,0.061628,101984,
13,cube0,22.354445,40238,0.062146,0.062146,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.775555,44596,0.231839,0.102644,0.000000,0.001456,0.000000,0.077375,185920,
13,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.760000,44568,0.153812,0.060977,0.000000,0.001284,0.000000,0.061628,101984,
14,cube0,22.830000,41094,0.062146,0.062146,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.789444,44621,0.231839,0.102644,0.000000,0.001456,0.000000,0.077375,185920,
14,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.751667,44553,0.153812,0.060977,0.000000,0.001284,0.000000,0.061628,101984,
15,cube0,22.855000,41139,0.062146,0.062146,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.773890,44593,0.231839,0.102644,0.000000,0.001456,0.000000,0.077375,185920,
15,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.737778,44528,0.153812,0.060977,0.000000,0.001284,0.000000,0.061628,101984,
16,cube0,23.911112,43040,0.062146,0.062146,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.753889,44557,0.232069,0.102739,0.000000,0.001475,0.000000,0.077452,185920,
16,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.721111,44498,0.153812,0.060977,0.000000,0.001284,0.000000,0.061628,101984,
17,cube0,23.661667,42591,0.062146,0.062146,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.744444,44540,0.232069,0.102739,0.000000,0.001475,0.000000,0.077452,185920,
17,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.710556,44479,0.153812,0.060977,0.000000,0.001284,0.000000,0.061628,101984,
18,cube0,23.921112,43058,0.062146,0.062146,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.730556,44515,0.232069,0.102739,0.000000,0.001475,0.000000,0.077452,185920,
18,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.696112,44453,0.153812,0.060977,0.000000,0.001284,0.000000,0.061628,101984,
19,cube0,24.223333,43602,0.062146,0.062146,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.739445,44531,0.231839,0.102644,0.000000,0.001456,0.000000,0.077375,185920,
19,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.690001,44442,0.153812,0.060977,0.000000,0.001284,0.000000,0.061628,101984,
