block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,cube0,36.437222,65587,NA,NA,26,42624,29,42618,NA,0.064481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.352779,87035,NA,NA,2194,5,2190,9,NA,99.681671,NA,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.781113,84206,NA,NA,1492,4,1484,2,NA,99.798790,NA,
1,cube0,36.493332,65688,NA,NA,153,42499,150,42494,NA,0.355234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.535000,76563,NA,NA,1806,0,1801,1,NA,99.972282,NA,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.529999,76554,NA,NA,1230,0,1220,1,NA,99.959198,NA,
2,cube0,38.198891,68758,NA,NA,138,42517,128,42514,NA,0.311852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.376667,87078,NA,NA,2197,0,2196,1,NA,99.977242,NA,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.814445,84266,NA,NA,1487,1,1487,1,NA,99.932793,NA,
3,cube0,39.945557,71902,NA,NA,50,42601,49,42596,NA,0.116066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.459446,76427,NA,NA,1809,1,1807,0,NA,99.972351,NA,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.430557,76375,NA,NA,1223,1,1228,0,NA,99.959213,NA,
4,cube0,41.191113,74144,NA,NA,87,42550,96,42563,NA,0.214547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.121666,86619,NA,NA,2199,1,2198,0,NA,99.977264,NA,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.474998,83655,NA,NA,1491,1,1490,1,NA,99.932953,NA,
5,cube0,40.714443,73286,NA,NA,100,42556,88,42557,NA,0.220396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.422779,76361,NA,NA,1802,0,1811,1,NA,99.972328,NA,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.382221,76288,NA,NA,1227,0,1232,1,NA,99.959351,NA,
6,cube0,40.073891,72133,NA,NA,152,42498,147,42495,NA,0.350560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.063889,86515,NA,NA,2195,0,2199,1,NA,99.977249,NA,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.437222,83587,NA,NA,1487,3,1487,2,NA,99.832161,NA,
7,cube0,40.909443,73637,NA,NA,34,42612,30,42621,NA,0.075032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.380554,76285,NA,NA,1803,0,1809,1,NA,99.972321,NA,
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.331112,76196,NA,NA,1231,1,1225,0,NA,99.959297,NA,
8,cube0,34.158333,61485,NA,NA,98,42037,97,42037,NA,0.231402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.777779,87800,NA,NA,1817,3,1805,1,NA,99.889687,NA,
8,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.000000,84600,NA,NA,1218,2,1244,1,NA,99.878296,NA,
9,cube0,34.568333,62223,NA,NA,85,42054,82,42056,NA,0.198156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.287777,76118,NA,NA,1236,0,1221,2,NA,99.918663,NA,
9,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.257221,76063,NA,NA,852,4,824,7,NA,99.347954,NA,
10,cube0,34.145000,61461,NA,NA,150,41983,151,41986,NA,0.357185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.287777,76118,NA,NA,1214,0,1244,1,NA,99.959335,NA,
10,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.244446,76040,NA,NA,835,1,850,0,NA,99.940689,NA,
11,cube0,34.188889,61540,NA,NA,138,41994,142,41995,NA,0.332269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.997776,88196,NA,NA,1820,1,1804,0,NA,99.972412,NA,
11,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.103333,84786,NA,NA,1233,1,1235,0,NA,99.959496,NA,
12,cube0,33.764999,60777,NA,NA,151,41985,145,41988,NA,0.351256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.267776,76082,NA,NA,1225,1,1228,0,NA,99.959251,NA,
12,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.237221,76027,NA,NA,839,1,847,0,NA,99.940720,NA,
13,cube0,32.133335,57840,NA,NA,41,42094,47,42091,NA,0.104423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.244999,76041,NA,NA,1227,1,1221,1,NA,99.918365,NA,
13,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.241665,76035,NA,NA,842,0,840,1,NA,99.940582,NA,
14,cube0,33.244446,59840,NA,NA,30,42105,34,42104,NA,0.075944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.983334,88170,NA,NA,1809,1,1808,0,NA,99.972359,NA,
14,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.092777,84767,NA,NA,1222,0,1236,1,NA,99.959335,NA,
15,cube0,32.486668,58476,NA,NA,157,41977,147,41992,NA,0.360732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
