block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.937778,91688,1.690379,9.068176,9.083584,1.710188,81,0.126852,9,0.020772,515.875000,97.125000,NA,NA,NA,NA,NA,NA,NA,NA,515.000000,4.120774,96.000000,0.904914,
14,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.929443,91673,1.690379,7.364592,7.379999,1.710188,63,0.108086,9,0.023364,419.125000,97.125000,NA,NA,NA,NA,NA,NA,NA,NA,418.250000,3.346629,96.000000,0.904914,
15,cube0,41.795555,75232,22.538382,12.114380,12.131988,22.555988,323,0.084650,14,0.163940,1,0.000021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,689.000000,1281.000000,688.000000,4.588780,4.000000,0.035317,0.000000,0.000000,1280.000000,10.767428,NA,NA,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.949444,79109,1.267784,7.377798,7.393205,1.287593,75,0.100422,6,0.013169,419.875000,73.125000,NA,NA,NA,NA,NA,NA,NA,NA,419.000000,3.352630,72.000000,0.678685,
15,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.944443,79100,1.267784,5.674213,5.689620,1.287593,57,0.082819,6,0.014691,323.125000,73.125000,NA,NA,NA,NA,NA,NA,NA,NA,322.250000,2.578485,72.000000,0.678685,
16,cube0,41.682777,75029,22.538382,12.114380,12.131988,22.555988,323,0.084588,14,0.116296,1,0.000021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,689.000000,1281.000000,688.000000,4.588780,4.000000,0.035317,0.000000,0.000000,1280.000000,10.767428,NA,NA,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.694443,75050,1.126919,5.110754,5.126161,1.146728,55,0.066101,5,0.011872,291.125000,65.125000,NA,NA,NA,NA,NA,NA,NA,NA,290.250000,2.322436,64.000000,0.603276,
16,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.645557,74962,1.126919,1.703585,1.718992,1.146728,19,0.022829,5,0.012212,97.625000,65.125000,NA,NA,NA,NA,NA,NA,NA,NA,96.750000,0.774145,64.000000,0.603276,
17,cube0,41.853333,75336,22.538382,11.691785,11.709394,22.555988,323,0.084516,13,0.157551,1,0.000021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,665.000000,1281.000000,664.000000,4.428706,4.000000,0.035317,0.000000,0.000000,1280.000000,10.767428,NA,NA,NA,NA,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.824444,75284,0.563460,8.517923,8.533330,0.583269,91,0.116626,3,0.005926,484.625000,33.125000,NA,NA,NA,NA,NA,NA,NA,NA,483.750000,3.870728,32.000000,0.301638,
17,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.791668,75225,0.563460,8.517923,8.533330,0.583269,91,0.117634,3,0.007778,484.625000,33.125000,NA,NA,NA,NA,NA,NA,NA,NA,483.750000,3.870728,32.000000,0.301638,
18,cube0,41.631668,74937,22.538382,11.374839,11.392447,22.555988,323,0.084516,13,0.132469,1,0.000021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,647.000000,1281.000000,646.000000,4.308651,4.000000,0.035317,0.000000,0.000000,1280.000000,10.767428,NA,NA,NA,NA,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.564999,74817,0.563460,4.258962,4.274369,0.583269,46,0.053621,3,0.005000,242.750000,33.125000,NA,NA,NA,NA,NA,NA,NA,NA,241.875000,1.935364,32.000000,0.301638,
18,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.564999,74817,0.563460,0.000000,0.013206,0.583269,1,0.000021,3,0.008333,0.750000,33.125000,NA,NA,NA,NA,NA,NA,NA,NA,0.000000,0.000000,32.000000,0.301638,
19,cube0,41.636112,74945,4.507676,2.359487,2.377095,4.516480,67,0.016944,5,0.036193,1,0.000021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135.000000,256.500000,134.000000,0.893745,2.000000,0.017658,0.000000,0.000000,256.000000,2.153486,NA,NA,NA,NA,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.587223,74857,0.563460,0.851792,0.867199,0.574465,10,0.009825,3,0.005525,49.250000,32.625000,NA,NA,NA,NA,NA,NA,NA,NA,48.375000,0.387073,32.000000,0.301638,
19,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.587223,74857,0.563460,0.000000,0.013206,0.574465,1,0.000021,3,0.007942,0.750000,32.625000,NA,NA,NA,NA,NA,NA,NA,NA,0.000000,0.000000,32.000000,0.301638,
