block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,cube0,42.792778,77027,1537,1024,514,2147,512,2147,60.015617,19.285715,32.521255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.375000,92475,1,128,2449,1,2451,0,0.775194,99.979599,97.435387,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.310555,92359,65,64,2452,0,2448,1,50.387596,99.979599,98.707756,
1,cube0,42.727779,76910,1537,1024,2243,513,2244,512,60.015617,81.404205,74.619102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.963890,80935,17,128,1290,0,1294,1,11.724138,99.961319,95.274727,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.923889,80863,1,144,522,0,514,1,0.689655,99.903564,87.732658,
2,cube0,42.776112,76997,1537,1024,1197,1565,1194,1556,60.015617,43.378082,48.656013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.130001,92034,1,192,2060,0,2066,1,0.518135,99.975769,95.532410,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.178333,92121,65,128,1668,0,1684,1,33.678757,99.970177,96.362099,
3,cube0,42.704445,76868,1537,1024,1131,1635,1115,1631,60.015617,40.747459,46.859905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.916111,80849,17,128,1682,0,1675,2,11.724138,99.940460,96.289955,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.832779,80699,1,144,1287,1,1297,0,0.689655,99.961319,94.688644,
4,cube0,42.669998,76806,1537,1024,2147,608,2148,609,60.015617,77.920898,72.240799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.951668,91713,1,192,1670,1,1682,0,0.518135,99.970177,94.557251,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.018333,91833,65,128,901,1,903,0,33.678757,99.944595,93.543541,
5,cube0,42.657776,76784,1537,1024,1100,1560,1099,1561,60.015617,41.334587,47.405151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.766666,80580,1,80,2068,0,2064,1,1.234568,99.975807,98.077835,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.830002,80694,17,64,2043,0,2089,1,20.987654,99.975807,98.457520,
6,cube0,42.735001,76923,1537,1024,1627,1025,1644,1024,60.015617,61.484962,61.007488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.016109,91829,1,128,1506,1,1459,0,0.775194,99.966286,95.831985,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.081112,91946,65,64,510,1,520,0,50.387596,99.903008,94.396553,
7,cube0,42.480556,76465,1537,1024,614,2141,609,2148,60.015617,22.187954,34.188034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.639999,80352,1,144,1883,2,1861,0,0.689655,99.946609,96.247749,
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.659443,80387,17,128,1675,1,1683,0,11.724138,99.970230,96.318497,
8,cube0,42.820000,77076,1537,1024,1713,1047,1702,1050,60.015617,61.955734,61.340271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.045555,91882,1,192,1875,0,1864,1,0.518135,99.973259,95.092804,
8,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.115555,92008,65,128,1292,0,1286,1,33.678757,99.961227,95.346321,
9,cube0,42.355556,76240,1537,1024,1633,1121,1638,1120,60.015617,59.343250,59.556545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.491665,80085,7,138,1479,1,1492,0,4.827586,99.966354,95.540581,
9,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.532223,80158,11,134,897,0,913,1,7.586207,99.944778,93.098160,
10,cube0,42.603333,76686,1537,1024,1295,1472,1272,1473,60.015617,46.571117,50.836121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.044445,91880,1,192,2266,1,2247,0,0.518135,99.977844,95.899727,
10,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.062778,91913,65,128,2073,1,2053,0,33.678757,99.975769,97.013885,
11,cube0,42.352779,76235,1537,1024,1525,1141,1522,1132,60.015617,57.274437,58.165207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.505001,80109,1,80,1077,1,1119,1,1.234568,99.909012,96.401932,
11,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.377777,79880,17,64,137,1,125,0,20.987654,99.619774,81.104652,
12,cube0,42.722221,76900,1537,1024,515,2147,516,2142,60.015617,19.379700,32.584698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.014999,91827,65,64,2437,1,2463,0,50.387596,99.979599,98.707756,
12,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.085556,91954,1,128,2458,1,2442,0,0.775194,99.979599,97.435387,
13,cube0,42.423332,76362,1537,1024,2244,512,2243,513,60.015617,81.404205,74.619102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.576668,80238,1,144,1282,0,1302,1,0.689655,99.961319,94.688644,
13,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.482224,80068,17,128,519,0,517,1,11.724138,99.903564,89.086296,
14,cube0,42.675556,76816,1537,1024,1194,1565,1197,1556,60.015617,43.378082,48.656013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.947777,91706,1,192,2062,1,2064,0,0.518135,99.975769,95.532410,
14,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.005001,91809,65,128,1683,1,1669,0,33.678757,99.970177,96.362099,
15,cube0,42.169445,75905,1537,1024,1222,1535,1213,1542,60.015617,44.176342,49.201042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
