block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
6,cube0,59.590557,107263,46.029343,9.451795,9.255953,41.518551,246,0.185983,87,0.157665,18,0.028108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,720.750000,3233.000000,736.000000,3.580225,36.000000,0.231819,0.000000,0.000000,3200.000000,19.632505,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.679443,125423,0.942290,25.989225,26.108013,0.956737,134,0.300893,11,0.018739,2033.000000,74.500000,NA,NA,NA,NA,NA,NA,NA,NA,2023.750000,11.810063,73.375000,0.504438,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.384445,123092,0.632474,17.327221,17.436378,0.646921,90,0.210916,8,0.013251,1357.750000,50.375000,NA,NA,NA,NA,NA,NA,NA,NA,1349.250000,7.873862,49.250000,0.338584,
7,cube0,61.638332,110949,46.029343,10.479164,10.283322,41.518551,246,0.186794,89,0.146929,18,0.035781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800.750000,3233.000000,816.000000,3.969380,36.000000,0.231819,0.000000,0.000000,3200.000000,19.632505,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.267220,126481,1.563527,25.989225,26.103199,1.577975,134,0.283889,17,0.032470,2032.625000,122.875000,NA,NA,NA,NA,NA,NA,NA,NA,2023.750000,11.810063,121.750000,0.837006,
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.787781,123818,1.046632,17.327221,17.439589,1.061080,90,0.201809,12,0.025383,1358.000000,82.625000,NA,NA,NA,NA,NA,NA,NA,NA,1349.250000,7.873862,81.500000,0.560296,
8,cube0,62.310001,112158,46.029343,10.479164,10.283322,41.518551,246,0.185728,89,0.142665,18,0.038266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800.750000,3233.000000,816.000000,3.969380,36.000000,0.231819,0.000000,0.000000,3200.000000,19.632505,NA,NA,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.660553,127189,1.563527,25.989225,26.104803,1.577975,134,0.289212,17,0.032170,2032.750000,122.875000,NA,NA,NA,NA,NA,NA,NA,NA,2023.750000,11.810063,121.750000,0.837006,
8,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.025558,124246,1.046632,17.327221,17.439589,1.061080,90,0.205638,12,0.024520,1358.000000,82.625000,NA,NA,NA,NA,NA,NA,NA,NA,1349.250000,7.873862,81.500000,0.560296,
9,cube0,62.436668,112386,46.029343,10.479164,10.283322,41.518551,246,0.187305,89,0.150818,18,0.034880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800.750000,3233.000000,816.000000,3.969380,36.000000,0.231819,0.000000,0.000000,3200.000000,19.632505,NA,NA,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.197220,128155,1.563527,25.989225,26.104803,1.577975,134,0.295946,17,0.034602,2032.750000,122.875000,NA,NA,NA,NA,NA,NA,NA,NA,2023.750000,11.810063,121.750000,0.837006,
9,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.995003,124191,1.046632,17.327221,17.439589,1.061080,90,0.205098,12,0.024895,1358.000000,82.625000,NA,NA,NA,NA,NA,NA,NA,NA,1349.250000,7.873862,81.500000,0.560296,
10,cube0,61.957779,111524,46.029343,10.479164,10.283322,41.518551,246,0.185683,89,0.153078,18,0.024992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800.750000,3233.000000,816.000000,3.969380,36.000000,0.231819,0.000000,0.000000,3200.000000,19.632505,NA,NA,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.643333,125358,1.563527,25.989225,26.104803,1.577975,134,0.283011,17,0.035638,2032.750000,122.875000,NA,NA,NA,NA,NA,NA,NA,NA,2023.750000,11.810063,121.750000,0.837006,
10,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.301666,122943,1.046632,17.327221,17.441195,1.061080,90,0.193003,12,0.021914,1358.125000,82.625000,NA,NA,NA,NA,NA,NA,NA,NA,1349.250000,7.873862,81.500000,0.560296,
11,cube0,60.058887,108106,46.029343,9.451795,9.255953,41.518551,246,0.186126,87,0.143836,18,0.033821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,720.750000,3233.000000,736.000000,3.580225,36.000000,0.231819,0.000000,0.000000,3200.000000,19.632505,NA,NA,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.767776,116582,0.634079,24.756382,24.862329,0.648527,122,0.261006,8,0.014872,1936.000000,50.500000,NA,NA,NA,NA,NA,NA,NA,NA,1927.750000,11.249833,49.375000,0.339443,
11,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.783333,116610,0.427000,16.505325,16.609667,0.441448,82,0.191689,6,0.010345,1293.375000,34.375000,NA,NA,NA,NA,NA,NA,NA,NA,1285.250000,7.500375,33.250000,0.228587,
12,cube0,59.935555,107884,46.029343,9.451795,9.255953,41.518551,246,0.187282,87,0.135135,18,0.035503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,720.750000,3233.000000,736.000000,3.580225,36.000000,0.231819,0.000000,0.000000,3200.000000,19.632505,NA,NA,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.759445,125567,0.942290,25.989225,26.103199,0.956737,134,0.283874,11,0.020188,2032.625000,74.500000,NA,NA,NA,NA,NA,NA,NA,NA,2023.750000,11.810063,73.375000,0.504438,
12,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.456108,123221,0.632474,17.327221,17.439589,0.646921,90,0.208063,8,0.014287,1358.000000,50.375000,NA,NA,NA,NA,NA,NA,NA,NA,1349.250000,7.873862,49.250000,0.338584,
13,cube0,62.656666,112782,46.029343,10.479164,10.283322,41.518551,246,0.185563,89,0.142140,18,0.039099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800.750000,3233.000000,816.000000,3.969380,36.000000,0.231819,0.000000,0.000000,3200.000000,19.632505,NA,NA,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.142776,126257,1.563527,25.989225,26.106409,1.577975,134,0.294482,17,0.036847,2032.875000,122.875000,NA,NA,NA,NA,NA,NA,NA,NA,2023.750000,11.810063,121.750000,0.837006,
13,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.635002,123543,1.046632,17.327221,17.439589,1.061080,90,0.207605,12,0.023348,1358.000000,82.625000,NA,NA,NA,NA,NA,NA,NA,NA,1349.250000,7.873862,81.500000,0.560296,
14,cube0,63.238335,113829,46.029343,10.479164,10.283322,41.518551,246,0.186547,89,0.149399,18,0.040668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800.750000,3233.000000,816.000000,3.969380,36.000000,0.231819,0.000000,0.000000,3200.000000,19.632505,NA,NA,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.627777,127130,1.563527,25.989225,26.106409,1.577975,134,0.280075,17,0.037035,2032.875000,122.875000,NA,NA,NA,NA,NA,NA,NA,NA,2023.750000,11.810063,121.750000,0.837006,
14,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.086670,124356,1.046632,17.327221,17.439589,1.061080,90,0.218604,12,0.026396,1358.000000,82.625000,NA,NA,NA,NA,NA,NA,NA,NA,1349.250000,7.873862,81.500000,0.560296,
