block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
12,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.065556,79318,3,66,839,1,844,0,4.347826,99.940620,96.177979,
13,cube0,4428.459473,7971227,2,1088,144,39312,155,39289,0.183486,0.378961,0.376297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.023335,79242,4,98,1230,0,1220,1,3.921569,99.959198,96.122208,
13,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.028889,79252,3,66,843,0,841,1,4.347826,99.940651,96.180161,
14,cube0,4451.275879,8012297,2,1088,143,39239,156,39220,0.183486,0.379644,0.376966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.810555,91459,4,146,1809,1,1814,0,2.666667,99.972404,96.104927,
14,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.947224,88105,3,98,1232,1,1229,0,2.970297,99.959381,96.137337,
15,cube0,4484.014648,8071226,2,1088,138,39210,142,39193,0.183486,0.355858,0.353503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.026669,79248,4,98,1225,0,1225,1,3.921569,99.959198,96.122208,
15,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.020000,79236,3,66,836,0,842,1,4.347826,99.940437,96.167046,
16,cube0,4558.186035,8204735,1,1089,40,40479,39,40466,0.091743,0.097502,0.097426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.017223,79231,4,98,1227,1,1223,1,3.921569,99.918434,96.084572,
16,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.018890,79234,3,66,827,1,852,0,4.347826,99.940475,96.169243,
17,cube0,4539.424316,8170964,2,1088,115,40401,116,40386,0.183486,0.285122,0.283773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.611111,91100,4,146,1825,0,1797,1,2.666667,99.972397,96.103897,
17,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.799999,87840,3,98,1229,0,1232,1,2.970297,99.959381,96.137337,
18,cube0,4536.005371,8164810,2,1088,65,40378,62,40361,0.183486,0.157050,0.157402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.007778,79214,4,98,1231,1,1220,0,3.921569,99.959213,96.123726,
18,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.015556,79228,3,66,838,0,839,1,4.347826,99.940407,96.164856,
19,cube0,4531.698730,8157058,2,1088,141,40257,158,40228,0.183486,0.370123,0.367638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.974998,79155,4,98,1233,1,1221,0,3.921569,99.959267,96.128273,
19,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.947777,79106,3,66,834,7,833,4,4.347826,99.344460,95.592445,
