block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
10,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.263889,56275,3,66,794,0,798,1,4.347826,99.937225,95.968712,
11,cube0,23.407223,42133,2,1088,122,1020,123,1029,0.183486,10.680035,7.299054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.736668,67926,4,146,1769,0,1764,1,2.666667,99.971703,96.009773,
11,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.920555,64657,3,98,1184,1,1191,0,2.970297,99.957916,96.003227,
12,cube0,25.193890,45349,1,1089,1,1145,4,1144,0.091743,0.217960,0.177305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.225555,56206,4,98,1176,1,1187,0,3.921569,99.957695,95.985405,
12,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.253334,56256,3,66,796,4,790,4,4.347826,99.498116,95.550209,
13,cube0,24.882778,44789,2,1088,122,1023,123,1026,0.183486,10.680035,7.299054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.196112,56153,4,98,1183,1,1180,0,3.921569,99.957695,95.985405,
13,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.224445,56204,3,66,787,1,806,0,4.347826,99.937263,95.971138,
14,cube0,24.442778,43997,2,1088,3,1145,2,1144,0.183486,0.217960,0.206856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.538334,67569,4,146,1777,1,1758,0,2.666667,99.971718,96.011940,
14,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.771111,64388,3,98,1180,2,1193,0,2.970297,99.915787,95.961227,
15,cube0,25.594999,46071,2,1088,125,1020,120,1029,0.183486,10.680035,7.299054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.172777,56111,4,98,1189,1,1175,0,3.921569,99.957718,95.987030,
15,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.207222,56173,3,66,795,0,796,1,4.347826,99.937187,95.966286,
16,cube0,24.786667,44616,1,1089,121,1026,124,1023,0.091743,10.680035,7.269504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.170000,56106,4,98,1182,0,1182,1,3.921569,99.957718,95.987030,
16,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.188334,56139,3,66,802,1,790,0,4.347826,99.937225,95.968712,
17,cube0,24.549999,44190,2,1088,3,1145,2,1144,0.183486,0.217960,0.206856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.580555,67645,4,146,1763,1,1772,0,2.666667,99.971718,96.011940,
17,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.696667,64254,3,98,1189,0,1185,1,2.970297,99.957893,96.001617,
18,cube0,24.407223,43933,2,1088,124,1019,121,1030,0.183486,10.680035,7.299054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.144444,56060,4,98,1181,1,1185,0,3.921569,99.957756,95.990280,
18,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.169445,56105,3,66,794,1,797,0,4.347826,99.937187,95.966286,
19,cube0,25.038889,45070,2,1088,121,1020,124,1029,0.183486,10.680035,7.299054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.135000,56043,4,98,1183,0,1183,1,3.921569,99.957756,95.990280,
19,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.187222,56137,3,66,798,0,794,1,4.347826,99.937225,95.968712,
