block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
13,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.224445,56204,0.246000,0.039306,0.000000,0.001111,0.000000,0.030306,145536,
14,cube0,24.442778,43997,0.059278,0.059278,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.538334,67569,0.442778,0.048694,0.000000,0.001250,0.000000,0.051639,240192,
14,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.771111,64388,0.313500,0.034056,0.000000,0.000972,0.000000,0.039889,166144,
15,cube0,25.594999,46071,0.059278,0.059278,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.172777,56111,0.341528,0.055583,0.000000,0.001417,0.000000,0.036681,209280,
15,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.207222,56173,0.246000,0.039306,0.000000,0.001111,0.000000,0.030306,145536,
16,cube0,24.786667,44616,0.059278,0.059278,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.170000,56106,0.341528,0.055583,0.000000,0.001417,0.000000,0.036681,209280,
16,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.188334,56139,0.246000,0.039306,0.000000,0.001111,0.000000,0.030306,145536,
17,cube0,24.549999,44190,0.059278,0.059278,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.580555,67645,0.442778,0.048694,0.000000,0.001250,0.000000,0.051639,240192,
17,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.696667,64254,0.313500,0.034056,0.000000,0.000972,0.000000,0.039889,166144,
18,cube0,24.407223,43933,0.058944,0.058944,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.144444,56060,0.341528,0.055583,0.000000,0.001417,0.000000,0.036681,209280,
18,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.169445,56105,0.246000,0.039306,0.000000,0.001111,0.000000,0.030306,145536,
19,cube0,25.038889,45070,0.059278,0.059278,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.135000,56043,0.341528,0.055583,0.000000,0.001417,0.000000,0.036681,209280,
19,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.187222,56137,0.246000,0.039306,0.000000,0.001111,0.000000,0.030306,145536,
