block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aic_scalar_time(us),aic_scalar_ratio,aic_scalar_single_time(us),aic_scalar_dual_time(us),aic_scalar_mte1_stall_time(us),aic_scalar_mte2_stall_time(us),aic_scalar_mte3_stall_time(us),aic_scalar_cube_stall_time(us),aic_scalar_wait_ib_time(us),aic_scalar_wait_time(us),aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aiv_scalar_time(us),aiv_scalar_ratio,aiv_scalar_single_time(us),aiv_scalar_dual_time(us),aiv_scalar_mte2_stall_time(us),aiv_scalar_mte3_stall_time(us),aiv_scalar_stall_by_ub_time(us),aiv_scalar_vector_stall_time(us),aiv_scalar_wait_ib_time(us),aiv_scalar_wait_time(us),aic_scalar_wait_id0_time(us),aiv_scalar_wait_id0_time(us),aiv_scalar_wait_id14_time(us),
4,cube0,29.757223,53563,3.556667,0.088917,2.898889,0.072472,5.986667,0.149667,2.595556,0.064889,12.859907,8.190556,0.204764,89.422729,0.000000,15.586667,0.389667,0.277222,1.007778,1.505556,0.000000,0.000000,0.000000,0.136111,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.982222,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.267223,67081,23.014444,0.575361,7.715556,0.192889,65.571976,1.555000,0.038875,45.000549,0.014157,10.706667,0.267667,1.283333,2.872222,0.000000,0.000000,0.000000,12.535556,0.340000,3.191667,NA,5.786111,1.145555,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.584446,64052,16.075556,0.401889,5.998889,0.149972,56.237461,1.077222,0.026931,43.601460,0.018055,9.150556,0.228764,0.940000,2.119444,0.000000,0.000000,0.000000,6.676667,0.356111,2.600556,NA,7.555000,6.611667,
5,cube0,29.875555,53776,3.556667,0.088917,2.866667,0.071667,5.307222,0.132681,2.920000,0.073000,11.431028,7.378334,0.184458,99.266571,0.000000,15.345000,0.383625,0.277778,1.015000,1.512222,0.000000,0.000000,0.000000,0.117778,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.836111,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.362778,56453,19.392778,0.484819,6.252222,0.156306,66.275871,0.917222,0.022931,51.337254,0.016075,9.106667,0.227667,1.202222,2.737222,0.000000,0.000000,0.000000,12.610000,0.281667,3.087222,NA,6.265555,1.011667,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.383333,56490,13.661111,0.341528,5.310000,0.132750,52.039009,0.883889,0.022097,35.875179,0.019385,8.136111,0.203403,0.881667,2.016111,0.000000,0.000000,0.000000,6.877778,0.370000,2.901667,NA,7.498333,6.306667,
6,cube0,29.377222,52879,3.532778,0.088319,2.865556,0.071639,6.072222,0.151806,2.653889,0.066347,12.577241,8.204445,0.205111,89.271355,0.000000,11.795000,0.294875,0.283889,1.038333,2.148333,0.000000,0.000000,0.000000,0.115000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.854445,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.191666,66945,23.014444,0.575361,7.435555,0.185889,68.041214,1.483333,0.037083,47.174732,0.013720,10.713889,0.267847,1.291111,2.899444,0.000000,0.000000,0.000000,12.960000,0.172222,2.967222,NA,4.480000,0.741111,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.499443,63899,16.075556,0.401889,5.970000,0.149250,56.509598,1.010000,0.025250,46.503426,0.017059,9.350000,0.233750,0.946667,2.147222,0.000000,0.000000,0.000000,7.330000,0.313333,3.529444,NA,5.729445,6.576667,
7,cube0,29.592222,53266,3.545556,0.088639,2.852778,0.071319,5.491111,0.137278,2.772222,0.069306,12.040377,7.495555,0.187389,97.714157,0.000000,11.303889,0.282597,0.284444,1.045556,1.481667,0.000000,0.000000,0.000000,0.142222,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.370556,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.309444,56357,19.392778,0.484819,7.128889,0.178222,58.125675,0.928889,0.023222,50.692467,0.015878,9.422778,0.235569,1.209444,2.765000,0.000000,0.000000,0.000000,13.170000,0.338889,3.941111,NA,4.373889,1.690556,
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.334444,56402,13.661111,0.341528,5.653889,0.141347,48.873821,1.270000,0.031750,24.968246,0.019510,8.664444,0.216611,0.890000,2.043333,0.000000,0.000000,0.000000,6.746111,0.177222,3.461111,NA,5.537778,6.631111,
8,cube0,23.629444,42533,2.371111,0.059278,1.917778,0.047944,3.782778,0.094569,2.731111,0.068278,12.047026,4.828889,0.120722,101.116684,0.000000,8.628333,0.215708,0.231111,0.826667,1.483333,0.000000,0.000000,0.000000,0.109444,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.753333,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.772221,67990,17.711111,0.442778,6.897778,0.172444,59.969494,1.535000,0.038375,45.586876,0.016680,10.216666,0.255417,0.976667,2.200000,0.000000,0.000000,0.000000,7.752778,0.155556,3.450556,NA,3.633889,7.137778,
8,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.948334,64707,12.540000,0.313500,5.651111,0.141278,48.813461,1.215556,0.030389,38.639500,0.021214,8.777778,0.219444,0.735000,1.672222,0.000000,0.000000,0.000000,4.858333,0.304444,3.680556,NA,4.246111,11.653334,
9,cube0,23.396111,42113,2.371111,0.059278,1.945556,0.048639,3.850556,0.096264,1.214444,0.030361,27.092030,5.071667,0.126792,96.276283,0.000000,8.530000,0.213250,0.231667,0.833889,1.418333,0.000000,0.000000,0.000000,0.141667,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.545000,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.276667,56298,13.661111,0.341528,5.330555,0.133264,51.838337,1.108889,0.027722,42.463833,0.019566,8.248333,0.206208,0.887778,2.036111,0.000000,0.000000,0.000000,7.947222,0.165556,3.235000,NA,4.103333,7.127778,
9,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.258888,56266,9.840000,0.246000,4.497778,0.112444,40.975246,0.768889,0.019222,41.240906,0.023834,7.362222,0.184056,0.671111,1.549444,0.000000,0.000000,0.000000,4.787778,0.231667,3.346667,NA,4.067778,11.603889,
10,cube0,24.347221,43825,2.360000,0.059000,1.918889,0.047972,3.416111,0.085403,2.946111,0.073653,11.167862,4.504445,0.112611,108.399879,0.000000,7.950555,0.198764,0.231667,0.841111,1.374444,0.000000,0.000000,0.000000,0.108333,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.291111,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.233889,56221,13.661111,0.341528,5.873889,0.146847,47.043301,1.142778,0.028569,41.204571,0.019385,8.686666,0.217167,0.891667,2.041111,0.000000,0.000000,0.000000,7.753334,0.142778,3.978889,NA,3.612222,7.644444,
10,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.263889,56275,9.840000,0.246000,4.268889,0.106722,43.172256,0.771111,0.019278,41.122047,0.024202,7.372778,0.184319,0.673889,1.555000,0.000000,0.000000,0.000000,4.820000,0.420556,3.721111,NA,5.120000,11.736111,
11,cube0,23.407223,42133,2.371111,0.059278,1.908889,0.047722,3.817222,0.095431,2.631111,0.065778,12.504892,4.776667,0.119417,102.222176,0.000000,8.527223,0.213181,0.237222,0.865000,1.487222,0.000000,0.000000,0.000000,0.110556,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.591111,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.736668,67926,17.711111,0.442778,6.050000,0.151250,68.372925,1.658333,0.041458,42.196495,0.016248,9.876667,0.246917,0.986667,2.233889,0.000000,0.000000,0.000000,7.873333,0.378889,4.081666,NA,4.384444,7.316111,
11,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.920555,64657,12.540000,0.313500,5.196667,0.129917,53.082161,1.049444,0.026236,44.755547,0.020000,8.891111,0.222278,0.743889,1.706667,0.000000,0.000000,0.000000,4.854445,0.166667,2.712222,NA,3.847222,11.537778,
12,cube0,25.193890,45349,2.371111,0.059278,1.942778,0.048569,4.193889,0.104847,2.561111,0.064028,12.846676,5.195000,0.129875,93.990608,0.000000,9.731667,0.243292,0.237778,0.872222,1.606667,0.000000,0.000000,0.000000,0.115556,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.893333,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.225555,56206,13.661111,0.341528,5.521667,0.138042,50.044151,1.697222,0.042431,27.743961,0.019518,8.954445,0.223861,0.897222,2.070000,0.000000,0.000000,0.000000,8.052778,0.450556,4.126111,NA,3.803333,6.653333,
12,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.253334,56256,9.840000,0.246000,4.755556,0.118889,38.754158,0.683889,0.017097,46.366699,0.020728,7.771667,0.194292,0.679444,1.583889,0.000000,0.000000,0.000000,4.794445,0.175000,3.385000,NA,4.756111,11.526667,
13,cube0,24.882778,44789,2.347222,0.058681,1.987222,0.049681,3.764444,0.094111,2.344445,0.058611,14.033927,4.951111,0.123778,98.620537,0.000000,9.485556,0.237139,0.240000,0.878889,1.786667,0.000000,0.000000,0.000000,0.112222,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.187222,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.196112,56153,13.661111,0.341528,5.097222,0.127431,54.211315,1.725000,0.043125,27.297199,0.018011,8.328889,0.208222,0.900556,2.075556,0.000000,0.000000,0.000000,8.450556,0.463333,4.090000,NA,5.257778,6.430000,
13,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.224445,56204,9.840000,0.246000,4.897222,0.122431,37.633083,0.758333,0.018958,41.814949,0.022954,7.759444,0.193986,0.682778,1.589444,0.000000,0.000000,0.000000,5.021111,0.158333,3.501667,NA,4.042222,11.202778,
14,cube0,24.442778,43997,2.371111,0.059278,1.925556,0.048139,3.866111,0.096653,2.202778,0.055069,14.936488,5.022778,0.125569,97.213394,0.000000,10.096666,0.252417,0.244444,0.902778,1.408889,0.000000,0.000000,0.000000,0.108333,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.719444,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.538334,67569,17.711111,0.442778,6.783889,0.169597,60.976265,1.371111,0.034278,51.035873,0.016641,10.132222,0.253306,0.996111,2.268333,0.000000,0.000000,0.000000,7.788889,0.386667,4.120000,NA,4.777222,6.716111,
14,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.771111,64388,12.540000,0.313500,5.485556,0.137139,50.286667,1.012222,0.025306,46.401337,0.020370,9.096111,0.227403,0.753333,1.741111,0.000000,0.000000,0.000000,5.435000,0.433889,3.752778,NA,4.149445,10.934444,
15,cube0,25.594999,46071,2.371111,0.059278,1.868889,0.046722,4.215000,0.105375,2.480556,0.062014,13.263869,5.231667,0.130792,93.331871,0.000000,9.591666,0.239792,0.245000,0.910000,1.561111,0.000000,0.000000,0.000000,0.134444,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.568333,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.172777,56111,13.661111,0.341528,5.582778,0.139569,49.496349,1.102778,0.027569,42.699150,0.018967,8.666111,0.216653,0.906667,2.104445,0.000000,0.000000,0.000000,8.372222,0.517222,4.312778,NA,4.842222,6.354445,
15,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.207222,56173,9.840000,0.246000,4.799445,0.119986,38.399769,0.798333,0.019958,39.719837,0.022417,8.091111,0.202278,0.688889,1.618333,0.000000,0.000000,0.000000,4.739444,0.156111,3.643333,NA,4.116111,10.760555,
16,cube0,24.786667,44616,2.371111,0.059278,1.872222,0.046806,4.212778,0.105319,2.223889,0.055597,14.794698,5.195556,0.129889,93.980560,0.000000,10.946667,0.273667,0.247222,0.916667,1.831111,0.000000,0.000000,0.000000,0.133889,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.929444,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.170000,56106,13.661111,0.341528,5.582222,0.139556,49.501278,1.065556,0.026639,44.190720,0.017978,8.785000,0.219625,0.909444,2.110000,0.000000,0.000000,0.000000,7.993889,0.665556,4.166111,NA,4.087778,5.963333,
