block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aic_scalar_time(us),aic_scalar_ratio,aic_scalar_single_time(us),aic_scalar_dual_time(us),aic_scalar_mte1_stall_time(us),aic_scalar_mte2_stall_time(us),aic_scalar_mte3_stall_time(us),aic_scalar_cube_stall_time(us),aic_scalar_wait_ib_time(us),aic_scalar_wait_time(us),aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aiv_scalar_time(us),aiv_scalar_ratio,aiv_scalar_single_time(us),aiv_scalar_dual_time(us),aiv_scalar_mte2_stall_time(us),aiv_scalar_mte3_stall_time(us),aiv_scalar_stall_by_ub_time(us),aiv_scalar_vector_stall_time(us),aiv_scalar_wait_ib_time(us),aiv_scalar_wait_time(us),aic_scalar_wait_id0_time(us),aiv_scalar_wait_id0_time(us),aiv_scalar_wait_id14_time(us),
4,cube0,15.947222,28705,0.237778,0.010338,0.675000,0.029348,4.348333,0.189058,2.076111,0.090266,15.618108,5.069445,0.220411,6.019905,0.000000,12.601111,0.547874,0.172222,0.476667,0.000000,0.000000,0.000000,0.000000,0.110000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.448889,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.132778,36239,4.223889,0.183647,2.485000,0.108043,30.845705,1.805556,0.078502,13.270745,0.066723,7.430555,0.323068,0.331111,0.724444,0.000000,0.000000,0.000000,0.120556,1.978889,1.866111,NA,7.032778,0.405000,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.266111,32879,2.204444,0.095845,1.742778,0.075773,0.136804,0.132778,0.005773,7.182485,0.121290,6.672222,0.290097,0.199444,0.416667,0.000000,0.000000,0.000000,0.000000,3.727222,1.530000,NA,4.958333,1.151111,
5,cube0,15.768888,28384,0.237778,0.010338,0.691111,0.030048,4.149445,0.180411,1.776111,0.077222,18.256136,4.987778,0.216860,6.118472,0.000000,9.181111,0.399179,0.172222,0.483889,0.000000,0.000000,0.000000,0.000000,0.128889,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.731667,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.267221,31081,3.015556,0.131111,2.477778,0.107729,6.302590,0.430556,0.018720,37.931625,0.069336,6.311111,0.274396,0.292222,0.631111,0.000000,0.000000,0.000000,0.070556,1.812778,2.148889,NA,7.260000,0.642778,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.340555,31213,2.204444,0.095845,1.847778,0.080338,0.129030,0.145000,0.006304,6.577065,0.112299,6.020000,0.261739,0.185000,0.394444,0.000000,0.000000,0.000000,0.000000,4.301667,1.751667,NA,5.283333,2.051111,
6,cube0,15.858334,28545,0.237778,0.010338,0.702778,0.030556,4.135556,0.179807,2.010556,0.087415,16.127348,5.037222,0.219010,6.058414,0.000000,13.041667,0.567029,0.172222,0.491111,0.000000,0.000000,0.000000,0.000000,0.132778,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.952778,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.303888,31147,3.015556,0.131111,2.104445,0.091498,7.420684,0.438333,0.019058,37.258568,0.066731,6.113333,0.265797,0.293889,0.636667,0.000000,0.000000,0.000000,0.001667,3.935555,1.903333,NA,4.182222,0.355556,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.295555,31132,2.204444,0.095845,2.158889,0.093865,0.110436,0.119444,0.005193,7.984250,0.101489,5.610000,0.243913,0.185556,0.400556,0.000000,0.000000,0.000000,0.000000,3.456667,1.672222,NA,4.871111,0.966667,
7,cube0,15.891666,28605,0.237778,0.010338,0.672778,0.029251,3.996111,0.173744,1.557778,0.067729,20.814861,4.693889,0.204082,6.501555,0.000000,8.565556,0.372415,0.170556,0.499444,0.000000,0.000000,0.000000,0.000000,0.147778,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.833333,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.295000,31131,3.015556,0.131111,2.127778,0.092512,7.339308,0.441667,0.019203,36.977371,0.066479,6.058889,0.263430,0.292222,0.645556,0.000000,0.000000,0.000000,0.000000,2.116111,1.762222,NA,7.060555,0.803333,
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.275555,31096,2.204444,0.095845,2.446667,0.106377,0.097446,0.144444,0.006280,6.602360,0.103226,6.149445,0.267367,0.188333,0.406667,0.000000,0.000000,0.000000,0.000000,3.601667,1.602222,NA,4.285555,1.786667,
8,cube0,5.935555,10684,0.000000,0.000000,0.005000,0.000217,0.042222,0.001836,4.138889,0.179952,7.719002,0.000556,0.000024,0.000000,0.000000,3.956111,0.172005,0.064444,0.186667,0.000000,0.000000,0.000000,0.000000,0.116667,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000000,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.272778,31091,2.197778,0.095556,2.305556,0.100242,0.103410,0.107778,0.004686,8.848525,0.160656,5.406111,0.235048,0.123333,0.277778,0.000000,0.000000,0.000000,0.000000,4.780000,2.166667,NA,0.000000,5.803889,
8,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.248888,31048,2.197778,0.095556,2.444444,0.106280,0.097535,0.105556,0.004589,9.034810,0.159734,5.435555,0.236328,0.121667,0.278889,0.000000,0.000000,0.000000,0.000000,2.773889,1.812222,NA,0.000000,5.537222,
9,cube0,6.560000,11808,0.000000,0.000000,0.005000,0.000217,0.042222,0.001836,4.116667,0.178986,7.760669,0.000556,0.000024,0.000000,0.000000,3.462778,0.150556,0.064444,0.186667,0.000000,0.000000,0.000000,0.000000,0.130556,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000000,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.248333,31047,2.197778,0.095556,2.470000,0.107391,0.096526,0.135000,0.005870,7.064254,0.146141,5.586111,0.242874,0.122222,0.278333,0.000000,0.000000,0.000000,0.000000,4.356667,2.061667,NA,0.000000,5.296667,
9,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.222221,31000,2.197778,0.095556,2.375556,0.103285,0.100363,0.143889,0.006256,6.627852,0.169082,5.420000,0.235652,0.123333,0.277778,0.000000,0.000000,0.000000,0.000000,4.830000,1.848333,NA,0.000000,4.911111,
10,cube0,6.630000,11934,0.000000,0.000000,0.005000,0.000217,0.042222,0.001836,3.623889,0.157560,8.815968,0.000556,0.000024,0.000000,0.000000,3.875556,0.168502,0.064444,0.186667,0.000000,0.000000,0.000000,0.000000,0.097778,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000000,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.221111,30998,2.197778,0.095556,2.700000,0.117391,0.088303,0.098889,0.004300,9.643898,0.162521,5.639444,0.245193,0.123333,0.277778,0.000000,0.000000,0.000000,0.000000,5.148889,2.198333,NA,0.000000,4.728333,
10,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.209444,30977,2.197778,0.095556,2.532222,0.110097,0.094154,0.117778,0.005121,8.097235,0.184466,5.630556,0.244807,0.123333,0.277778,0.000000,0.000000,0.000000,0.000000,5.257778,2.270555,NA,0.000000,4.633889,
