block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aic_scalar_time(us),aic_scalar_ratio,aic_scalar_single_time(us),aic_scalar_dual_time(us),aic_scalar_mte1_stall_time(us),aic_scalar_mte2_stall_time(us),aic_scalar_mte3_stall_time(us),aic_scalar_cube_stall_time(us),aic_scalar_wait_ib_time(us),aic_scalar_wait_time(us),aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aiv_scalar_time(us),aiv_scalar_ratio,aiv_scalar_single_time(us),aiv_scalar_dual_time(us),aiv_scalar_mte2_stall_time(us),aiv_scalar_mte3_stall_time(us),aiv_scalar_stall_by_ub_time(us),aiv_scalar_vector_stall_time(us),aiv_scalar_wait_ib_time(us),aiv_scalar_wait_time(us),aic_scalar_wait_id11_time(us),aic_scalar_wait_id12_time(us),aic_scalar_wait_id1_time(us),aiv_scalar_wait_id0_time(us),aiv_scalar_wait_id13_time(us),
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.026111,19847,0.339444,0.018858,0.001111,0.000062,0.000000,0.468889,0.026049,81.356110,0.000000,5.171111,0.287284,0.932222,1.938889,0.000000,0.000000,0.000000,0.000000,0.125000,0.230556,NA,NA,NA,2.063889,3.202222,
4,cube0,10.785000,19413,1.209444,0.067191,0.926667,0.051481,1.644444,0.091358,0.001111,0.000062,1716.613770,1.807778,0.100432,135.050140,0.000000,5.287222,0.293735,0.084444,0.307222,2.063333,0.000000,0.000000,0.000000,0.126667,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.443889,2.842222,0.000000,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.641666,28155,6.015000,0.334167,0.865556,0.048086,88.282204,0.398333,0.022130,95.766464,0.000000,5.862222,0.325679,1.005556,2.307222,0.000000,0.000000,0.000000,0.000000,0.119444,0.734444,NA,NA,NA,2.219445,1.057778,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.673333,28212,4.187222,0.232623,0.717222,0.039846,85.099373,0.398333,0.022130,95.766464,0.000000,5.451111,0.302840,0.951667,1.995000,0.000000,0.000000,0.000000,0.000000,0.130000,0.230556,NA,NA,NA,2.101667,3.136111,
5,cube0,10.796111,19433,1.209444,0.067191,0.926667,0.051481,1.725000,0.095833,0.001111,0.000062,1716.613770,1.822778,0.101265,133.938782,0.000000,5.770000,0.320556,0.075556,0.292778,1.872778,0.000000,0.000000,0.000000,0.115556,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.382778,2.793889,0.000000,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.000000,19800,2.167222,0.120401,0.173333,0.009630,88.719215,0.405000,0.022500,94.190063,0.000000,6.071111,0.337284,0.985000,2.251111,0.000000,0.000000,0.000000,0.000000,0.120000,0.741667,NA,NA,NA,2.636111,1.900000,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.108889,19996,0.339444,0.018858,0.001111,0.000062,0.000000,0.476667,0.026481,80.028618,0.000000,5.547778,0.308210,0.931667,1.938333,0.000000,0.000000,0.000000,0.000000,0.126667,0.231111,NA,NA,NA,2.604445,4.070556,
6,cube0,10.749444,19349,1.209444,0.067191,0.926667,0.051481,1.650556,0.091698,0.001111,0.000062,1716.613770,1.819444,0.101080,134.184158,0.000000,5.543889,0.307994,0.075556,0.292778,2.117778,0.000000,0.000000,0.000000,0.122222,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.879444,2.753889,0.954444,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.025000,19845,2.167222,0.120401,0.166667,0.009259,92.267990,0.902778,0.050154,42.255112,0.000000,5.976111,0.332006,0.985000,2.251111,0.000000,0.000000,0.000000,0.000000,0.141111,0.741667,NA,NA,NA,1.461111,1.470000,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.050000,19890,0.339444,0.018858,0.001111,0.000062,0.000000,0.524444,0.029136,72.737869,0.000000,5.202222,0.289012,0.931667,1.938333,0.000000,0.000000,0.000000,0.000000,0.136667,0.230556,NA,NA,NA,1.830000,3.558889,
7,cube0,10.757222,19363,1.209444,0.067191,0.926667,0.051481,2.014444,0.111914,0.001111,0.000062,1716.613770,1.828333,0.101574,133.531799,0.000000,4.410000,0.245000,0.075556,0.292778,2.100556,0.000000,0.000000,0.000000,0.106111,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.785556,2.731667,0.000000,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.936666,19686,2.167222,0.120401,0.219444,0.012191,70.076958,0.428889,0.023827,88.943718,0.000000,5.658333,0.314352,0.986667,2.251111,0.000000,0.000000,0.000000,0.000000,0.131667,0.735556,NA,NA,NA,2.048333,1.297222,
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.957222,19723,0.339444,0.018858,0.001111,0.000062,0.000000,0.492778,0.027377,77.412125,0.000000,5.327222,0.295957,0.933333,1.938333,0.000000,0.000000,0.000000,0.000000,0.135556,0.230556,NA,NA,NA,2.160556,3.375556,
