block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
0,cube0,20.682777,37229,0.062146,0.062146,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.701666,46263,0.231839,0.102644,0.000000,0.001456,0.000000,0.077375,185920,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.675556,46216,0.153812,0.060977,0.000000,0.001284,0.000000,0.061628,101984,
1,cube0,24.725555,44506,0.062146,0.062146,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.680555,46225,0.231839,0.102644,0.000000,0.001456,0.000000,0.077375,185920,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.644444,46160,0.153812,0.060977,0.000000,0.001284,0.000000,0.061628,101984,
2,cube0,24.711666,44481,0.062146,0.062146,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.672777,46211,0.231839,0.102644,0.000000,0.001456,0.000000,0.077375,185920,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.621666,46119,0.153812,0.060977,0.000000,0.001284,0.000000,0.061628,101984,
3,cube0,25.472778,45851,0.062146,0.062146,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.764999,46377,0.231839,0.102644,0.000000,0.001456,0.000000,0.077375,185920,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.591667,46065,0.153812,0.060977,0.000000,0.001284,0.000000,0.061628,101984,
4,cube0,25.203333,45366,0.062146,0.062146,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.610556,46099,0.231839,0.102644,0.000000,0.001456,0.000000,0.077375,185920,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.558332,46005,0.153812,0.060977,0.000000,0.001284,0.000000,0.061628,101984,
5,cube0,22.478889,40462,0.062146,0.062146,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.590555,46063,0.231839,0.102644,0.000000,0.001456,0.000000,0.077375,185920,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.542223,45976,0.153812,0.060977,0.000000,0.001284,0.000000,0.061628,101984,
6,cube0,23.057222,41503,0.062146,0.062146,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.550556,45991,0.231992,0.102701,0.000000,0.001475,0.000000,0.077414,185920,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.498333,45897,0.153812,0.060977,0.000000,0.001284,0.000000,0.061628,101984,
7,cube0,24.560556,44209,0.062146,0.062146,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.519444,45935,0.231839,0.102644,0.000000,0.001456,0.000000,0.077375,185920,
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.467222,45841,0.153812,0.060977,0.000000,0.001284,0.000000,0.061628,101984,
8,cube0,21.249445,38249,0.062146,0.062146,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.491667,45885,0.231839,0.102644,0.000000,0.001456,0.000000,0.077375,185920,
8,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.456667,45822,0.153812,0.060977,0.000000,0.001284,0.000000,0.061628,101984,
9,cube0,21.052778,37895,0.062146,0.062146,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.449444,45809,0.231839,0.102644,0.000000,0.001456,0.000000,0.077375,185920,
9,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.452223,45814,0.153812,0.060977,0.000000,0.001284,0.000000,0.061628,101984,
10,cube0,21.702778,39065,0.062146,0.062146,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.431667,45777,0.231839,0.102644,0.000000,0.001456,0.000000,0.077375,185920,
10,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.432222,45778,0.153812,0.060977,0.000000,0.001284,0.000000,0.061628,101984,
11,cube0,21.315556,38368,0.062146,0.062146,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.433889,45781,0.231839,0.102644,0.000000,0.001456,0.000000,0.077375,185920,
11,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.434444,45782,0.153812,0.060977,0.000000,0.001284,0.000000,0.061628,101984,
12,cube0,23.213888,41785,0.062146,0.062146,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.411667,45741,0.231839,0.102644,0.000000,0.001456,0.000000,0.077375,185920,
12,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.411667,45741,0.153812,0.060977,0.000000,0.001284,0.000000,0.061628,101984,
13,cube0,23.178333,41721,0.062146,0.062146,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.402222,45724,0.231839,0.102644,0.000000,0.001456,0.000000,0.077375,185920,
13,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.403889,45727,0.153812,0.060977,0.000000,0.001284,0.000000,0.061628,101984,
14,cube0,22.624445,40724,0.062146,0.062146,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.399445,45719,0.231839,0.102644,0.000000,0.001456,0.000000,0.077375,185920,
14,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.381111,45686,0.153812,0.060977,0.000000,0.001284,0.000000,0.061628,101984,
15,cube0,23.535000,42363,0.062146,0.062146,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.386110,45695,0.231839,0.102644,0.000000,0.001456,0.000000,0.077375,185920,
15,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.370556,45667,0.153812,0.060977,0.000000,0.001284,0.000000,0.061628,101984,
16,cube0,25.208889,45376,0.062146,0.062146,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.385555,45694,0.231839,0.102644,0.000000,0.001456,0.000000,0.077375,185920,
16,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.367222,45661,0.153812,0.060977,0.000000,0.001284,0.000000,0.061628,101984,
17,cube0,24.841667,44715,0.062146,0.062146,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.398333,45717,0.231839,0.102644,0.000000,0.001456,0.000000,0.077375,185920,
17,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.365000,45657,0.153812,0.060977,0.000000,0.001284,0.000000,0.061628,101984,
18,cube0,25.112778,45203,0.062146,0.062146,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.379999,45684,0.231839,0.102644,0.000000,0.001456,0.000000,0.077375,185920,
18,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.347778,45626,0.153812,0.060977,0.000000,0.001284,0.000000,0.061628,101984,
19,cube0,25.201666,45363,0.062146,0.062146,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.361666,45651,0.231839,0.102644,0.000000,0.001456,0.000000,0.077375,185920,
19,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.328888,45592,0.153812,0.060977,0.000000,0.001284,0.000000,0.061628,101984,
