block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aic_scalar_time(us),aic_scalar_ratio,aic_scalar_single_time(us),aic_scalar_dual_time(us),aic_scalar_mte1_stall_time(us),aic_scalar_mte2_stall_time(us),aic_scalar_mte3_stall_time(us),aic_scalar_cube_stall_time(us),aic_scalar_wait_ib_time(us),aic_scalar_wait_time(us),aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aiv_scalar_time(us),aiv_scalar_ratio,aiv_scalar_single_time(us),aiv_scalar_dual_time(us),aiv_scalar_mte2_stall_time(us),aiv_scalar_mte3_stall_time(us),aiv_scalar_stall_by_ub_time(us),aiv_scalar_vector_stall_time(us),aiv_scalar_wait_ib_time(us),aiv_scalar_wait_time(us),aic_scalar_wait_id0_time(us),aiv_scalar_wait_id0_time(us),aiv_scalar_wait_id14_time(us),
0,cube0,20.682777,37229,1.802222,0.062146,1.733333,0.059770,6.597222,0.227490,1.347222,0.046456,24.067987,7.687222,0.265077,47.638920,0.000000,9.979445,0.344119,0.262222,0.912222,3.287778,0.000000,0.000000,0.212222,0.118889,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.898889,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.701666,46263,6.723333,0.231839,2.961667,0.102126,82.836029,0.606111,0.020900,6.490405,0.014464,7.071111,0.243831,0.534444,1.412778,0.000000,0.000000,0.000000,2.125000,0.524444,0.737778,NA,9.231667,5.102222,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.675556,46216,4.460556,0.153812,3.020555,0.104157,40.649994,0.390000,0.013448,6.724627,0.018601,4.904444,0.169119,0.359444,0.950556,0.000000,0.000000,0.000000,1.258333,1.046667,1.672778,NA,8.858889,7.710000,
1,cube0,24.725555,44506,1.802222,0.062146,1.728333,0.059598,6.070556,0.209330,3.355556,0.115709,9.663057,7.190000,0.247931,50.933369,0.000000,10.036667,0.346092,0.268333,0.935000,3.243333,0.000000,0.000000,0.205556,0.141667,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.458333,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.680555,46225,6.723333,0.231839,5.145000,0.177414,47.683716,0.611111,0.021073,7.217581,0.013410,5.729445,0.197567,0.542778,1.434444,0.000000,0.000000,0.000000,1.976667,1.773889,2.126667,NA,10.324445,1.547778,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.644444,46160,4.460556,0.153812,3.062778,0.105613,40.089611,0.360000,0.012414,7.616149,0.016020,7.096667,0.244713,0.367778,0.972222,0.000000,0.000000,0.000000,1.079444,2.370000,1.939444,NA,7.985000,4.952222,
2,cube0,24.711666,44481,1.802222,0.062146,1.727778,0.059579,6.210000,0.214138,1.896667,0.065402,17.095743,7.353333,0.253563,49.802032,0.000000,13.423889,0.462893,0.274444,0.956667,3.186111,0.000000,0.000000,0.210000,0.110556,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.523889,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.672777,46211,6.723333,0.231839,5.078889,0.175134,48.304405,0.525000,0.018103,8.174353,0.013027,7.141667,0.246264,0.548333,1.455000,0.000000,0.000000,0.000000,1.975556,2.276667,2.088333,NA,11.572222,2.197222,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.621666,46119,4.460556,0.153812,2.997778,0.103372,40.958866,0.415000,0.014310,5.457775,0.017284,6.786111,0.234004,0.375000,0.991667,0.000000,0.000000,0.000000,1.245000,1.897778,1.975000,NA,8.301666,5.296111,
3,cube0,25.472778,45851,1.802222,0.062146,1.721111,0.059349,6.165555,0.212605,1.662778,0.057337,19.500458,7.298333,0.251667,50.177338,0.000000,13.625000,0.469828,0.278889,0.978889,2.813889,0.000000,0.000000,0.210556,0.141111,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.931111,NA,NA,
