block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
16,vector0,NA,NA,NA,NA,NA,NA,41.153889,74077,0.044591,0.027547,0.003836,0.013208,0.000000,0.075084,0.119686,0.044727,
16,vector1,NA,NA,NA,NA,NA,NA,41.147221,74065,0.014864,0.009182,0.001279,0.004403,0.000000,0.025440,0.054067,0.022558,
17,cube0,41.329445,74393,0.244969,0.166331,0.048711,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17,vector0,NA,NA,NA,NA,NA,NA,41.270000,74286,0.074319,0.045912,0.006394,0.022013,0.000000,0.120000,0.273480,0.022621,
17,vector1,NA,NA,NA,NA,NA,NA,41.265556,74278,0.074319,0.045912,0.006394,0.022013,0.000000,0.116405,0.271509,0.022537,
18,cube0,41.134998,74043,0.239193,0.150503,0.048711,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
18,vector0,NA,NA,NA,NA,NA,NA,41.072224,73930,0.037159,0.022956,0.003197,0.011006,0.000000,0.062138,0.083218,0.022474,
18,vector1,NA,NA,NA,NA,NA,NA,41.078335,73941,0.000000,0.000000,0.000000,0.000000,0.000000,0.001562,0.001709,0.000136,
19,cube0,41.137222,74047,0.073899,0.050356,0.016048,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
19,vector0,NA,NA,NA,NA,NA,NA,41.093334,73968,0.007432,0.004591,0.000639,0.002201,0.000000,0.011457,0.015042,0.022390,
19,vector1,NA,NA,NA,NA,NA,NA,41.086666,73956,0.000000,0.000000,0.000000,0.000000,0.000000,0.000577,0.000514,0.000136,
