block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,cube0,58.919998,106056,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,68.734444,123722,109.366318,85.772339,0.001221,0.006307,
0,vector1,NA,NA,67.458885,121426,72.930405,57.760986,0.001221,0.004476,
1,cube0,61.393333,110508,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,69.527222,125149,109.743927,88.275612,0.001221,0.011800,
1,vector1,NA,NA,67.991669,122385,73.184319,59.955021,0.001221,0.008138,
2,cube0,62.421112,112358,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,69.719444,125495,110.056427,88.900620,0.001221,0.011800,
2,vector1,NA,NA,68.112221,122602,73.392654,60.371693,0.001221,0.008138,
3,cube0,61.891109,111404,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,70.239441,126431,110.359169,89.525627,0.001221,0.011800,
3,vector1,NA,NA,68.204445,122768,73.386139,60.371693,0.001221,0.008138,
4,cube0,62.492222,112486,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,68.845558,123922,109.372826,87.520401,0.001221,0.011800,
4,vector1,NA,NA,67.476669,121458,72.927155,59.447201,0.001221,0.008138,
5,cube0,59.379444,106883,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,63.762222,114772,104.734108,79.733864,0.001221,0.006307,
5,vector1,NA,NA,63.747776,114746,69.837929,53.704960,0.001221,0.004476,
6,cube0,59.168888,106504,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,68.610558,123499,109.372826,85.782104,0.001221,0.006307,
6,vector1,NA,NA,67.345001,121221,72.933662,57.764244,0.001221,0.004476,
7,cube0,61.926109,111467,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,69.101112,124382,109.743927,88.275612,0.001221,0.011800,
7,vector1,NA,NA,67.670555,121807,73.184319,59.955021,0.001221,0.008138,
8,cube0,61.208889,110176,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,69.515556,125128,110.056427,88.900620,0.001221,0.011800,
8,vector1,NA,NA,67.902222,122224,73.392654,60.371693,0.001221,0.008138,
9,cube0,61.476665,110658,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,69.795555,125632,110.359169,89.525627,0.001221,0.011800,
9,vector1,NA,NA,67.742775,121937,73.386139,60.371693,0.001221,0.008138,
10,cube0,61.732777,111119,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,68.696663,123654,109.376083,87.533417,0.001221,0.011800,
10,vector1,NA,NA,67.296669,121134,72.927155,59.447201,0.001221,0.008138,
11,cube0,59.128334,106431,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,63.669998,114606,104.734108,79.733864,0.001221,0.006307,
11,vector1,NA,NA,63.633335,114540,69.837929,53.704960,0.001221,0.004476,
12,cube0,59.042221,106276,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,68.509445,123317,109.372826,85.788612,0.001221,0.006307,
12,vector1,NA,NA,67.248886,121048,72.936920,57.774014,0.001221,0.004476,
13,cube0,61.212776,110183,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,68.992775,124187,109.743927,88.275612,0.001221,0.011800,
13,vector1,NA,NA,67.468330,121443,73.184319,59.955021,0.001221,0.008138,
14,cube0,61.480556,110665,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,69.464996,125037,110.056427,88.900620,0.001221,0.011800,
14,vector1,NA,NA,67.879997,122184,73.392654,60.371693,0.001221,0.008138,
15,cube0,61.593887,110869,NA,NA,NA,NA,NA,NA,
15,vector0,NA,NA,69.783890,125611,110.359169,89.525627,0.001221,0.011800,
15,vector1,NA,NA,67.747223,121945,73.386139,60.371693,0.001221,0.008138,
16,cube0,50.922222,91660,NA,NA,NA,NA,NA,NA,
16,vector0,NA,NA,63.604443,114488,83.796402,64.147766,0.001221,0.006307,
16,vector1,NA,NA,63.556110,114401,55.879459,43.314232,0.001221,0.004476,
17,cube0,51.058334,91905,NA,NA,NA,NA,NA,NA,
17,vector0,NA,NA,69.160553,124489,88.806221,70.944717,0.001221,0.006307,
17,vector1,NA,NA,67.629448,121733,59.225845,47.871567,0.001221,0.004476,
18,cube0,53.236668,95826,NA,NA,NA,NA,NA,NA,
18,vector0,NA,NA,69.972221,125950,89.421455,73.939529,0.001221,0.011800,
18,vector1,NA,NA,67.862778,122153,59.427670,49.980965,0.001221,0.008138,
19,cube0,50.538334,90969,NA,NA,NA,NA,NA,NA,
19,vector0,NA,NA,63.570557,114427,83.796402,64.147766,0.001221,0.006307,
19,vector1,NA,NA,63.536110,114365,55.879459,43.314232,0.001221,0.004476,
