block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aic_scalar_time(us),aic_scalar_ratio,aic_scalar_single_time(us),aic_scalar_dual_time(us),aic_scalar_mte1_stall_time(us),aic_scalar_mte2_stall_time(us),aic_scalar_mte3_stall_time(us),aic_scalar_cube_stall_time(us),aic_scalar_wait_ib_time(us),aic_scalar_wait_time(us),aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aiv_scalar_time(us),aiv_scalar_ratio,aiv_scalar_single_time(us),aiv_scalar_dual_time(us),aiv_scalar_mte2_stall_time(us),aiv_scalar_mte3_stall_time(us),aiv_scalar_stall_by_ub_time(us),aiv_scalar_vector_stall_time(us),aiv_scalar_wait_ib_time(us),aiv_scalar_wait_time(us),aic_scalar_wait_id11_time(us),aic_scalar_wait_id12_time(us),aic_scalar_wait_id1_time(us),aiv_scalar_wait_id0_time(us),aiv_scalar_wait_id13_time(us),
0,cube0,100.250000,180450,24.392778,0.217793,18.550556,0.165630,13.864445,0.123790,0.001111,0.000010,5578.994629,38.718887,0.345704,126.109314,0.000000,30.642221,0.273591,1.034444,5.935555,29.127777,0.000000,0.000000,0.000000,0.146667,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.272222,7.203889,47.863888,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.761665,184971,58.706112,0.524162,24.957777,0.222837,80.091324,1.044444,0.009325,65.742653,0.000000,30.807222,0.275064,3.157778,10.967778,34.028889,0.000000,0.000000,0.000000,0.207222,35.915001,NA,NA,NA,3.349444,4.026111,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.788887,185020,44.692780,0.399043,17.908333,0.159896,84.139900,1.058889,0.009454,64.845856,0.000000,30.325556,0.270764,2.846111,9.318334,27.087223,0.000000,0.000000,0.000000,0.215000,25.541666,NA,NA,NA,17.430555,10.576667,
1,cube0,100.345558,180622,24.371666,0.217604,18.550556,0.165630,15.053333,0.134405,0.001111,0.000010,5578.994629,38.476665,0.343542,126.903206,0.000000,30.538889,0.272669,1.041111,5.995000,28.551111,0.000000,0.000000,0.000000,0.154444,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.539444,9.001667,47.354443,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.836670,185106,58.786667,0.524881,23.664444,0.211290,84.468559,1.306667,0.011667,75.904694,0.000000,32.034443,0.286022,3.169445,11.011666,34.721668,0.000000,0.000000,0.000000,0.220000,35.301666,NA,NA,NA,2.559444,2.330555,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.873886,185173,44.773335,0.399762,18.841667,0.168229,79.971977,1.522222,0.013591,65.156143,0.000000,31.396667,0.280327,2.855000,9.362778,27.537222,0.000000,0.000000,0.000000,0.222778,27.105000,NA,NA,NA,12.338889,10.642777,
2,cube0,100.232224,180418,24.385000,0.217723,18.550556,0.165630,14.660000,0.130893,0.001111,0.000010,5578.994629,39.451668,0.352247,123.766953,0.000000,31.786112,0.283805,1.048333,5.988333,28.246666,0.000000,0.000000,0.000000,0.157778,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.786111,18.620001,35.811111,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.565552,181018,57.200001,0.510714,24.460556,0.218398,80.471748,1.020555,0.009112,59.805817,0.000000,33.248333,0.296860,3.155000,10.990556,33.727222,0.000000,0.000000,0.000000,0.200556,37.506111,NA,NA,NA,2.081667,2.501111,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.628891,181132,43.186668,0.385595,17.321112,0.154653,85.230545,0.888889,0.007937,68.664551,0.000000,28.913889,0.258160,2.842778,9.341666,27.130556,0.000000,0.000000,0.000000,0.203889,25.760000,NA,NA,NA,21.884445,4.190556,
3,cube0,100.088890,180160,24.379999,0.217679,18.527222,0.165422,15.621111,0.139474,0.001111,0.000010,5578.994629,39.055000,0.348705,125.024002,0.000000,30.028889,0.268115,1.057778,5.997222,30.373333,0.000000,0.000000,0.000000,0.152778,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.756111,18.464445,23.565556,NA,NA,
