block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,cube0,13.543889,24379,2,128,11,512,11,513,1.538462,2.101242,2.039083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.496111,33293,2,50,350,9,361,10,3.846154,97.397263,91.176468,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.586666,29856,1,2,45,3,31,3,33.333332,92.682930,90.588234,
1,cube0,13.866667,24960,1,129,12,514,9,512,0.769231,2.005731,1.869159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.004999,28809,2,34,94,2,100,1,5.555555,98.477158,84.120171,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.668333,28203,1,2,38,2,33,0,33.333332,97.260277,94.736839,
2,cube0,13.720000,24696,2,128,11,512,11,513,1.538462,2.101242,2.039083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.846666,28524,2,34,90,1,106,1,5.555555,98.989899,84.615387,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.655000,28179,1,2,45,0,27,1,33.333332,98.630135,96.052635,
3,cube0,13.576667,24438,2,128,3,520,2,522,1.538462,0.477555,0.594732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.622222,28120,2,34,97,2,102,2,5.555555,98.029556,84.100418,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.621111,28118,1,2,37,1,35,1,33.333332,97.297295,94.805191,
4,cube0,14.105556,25390,2,128,11,515,11,510,1.538462,2.101242,2.039083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.226110,32807,2,50,376,1,350,1,3.846154,99.725273,93.333336,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.286667,29316,1,2,31,1,58,1,33.333332,97.802200,95.744682,
5,cube0,13.527778,24350,1,129,10,510,12,515,0.769231,2.101242,1.954121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
